6012017;7420947;55;200;3;1976;100;14106;0;3188;0;0;908;SAN VICENTE;10;F;1;213;VERACRUZ;216;MEXICO;HAPAG-LLOYD;563;80992000;3;HAPAG-LLOYD;80992000;3;0;202;;7092017;142;3;5;1;16032,1;0;0;16032,1;0;0;270;1;1;10068;16032,1;0; ;0; ;0;1;2;SI; ;;0;;0;;1;06011011        ~ BULBOS DE FLORES~ VALDIVIA LILIES-F~  DE LILIUM~ EN;REPOSO VEGETATIVO;;;;;;6011011;10;61750;,259629;16032,1;68;700;TLCCH-M;99;0000007849;KGS;33;;0000000002.00;10068                                                                                                                                                                                                                                                                                           ;06012017;1;76;1;                                                     ;06012017;1;HLCUSCL161214598;11122016;RUDOLF SCHEPERS;146458          
6012017;7420964;55;200;3;1976;100;14106;0;3188;0;0;908;SAN VICENTE;10;F;1;213;VERACRUZ;216;MEXICO;HAPAG-LLOYD;563;80992000;3;HAPAG-LLOYD;80992000;3;0;216;;7092017;142;3;5;1;11390,5;0;0;11390,5;0;0;270;1;1;11417;11390,5;0; ;0; ;0;2;2;SI; ;;0;;0;;1;06011011        ~ BULBOS DE FLORES~ VALDIVIA LILIES-F~  DE LILIUM~ EN;REPOSO VEGETATIVO;;;;;;6011011;10;42700;,266756;11390,5;68;700;TLCCH-M;99;0000009686;KGS;33;;0000000002.20;11417                                                                                                                                                                                                                                                                                           ;06012017;1;76;1;                                                     ;06012017;1;HLCUSCL161214598;11122016;RUDOLF SCHEPERS;146458          
6012017;7432973;55;200;3;1976;100;14106;0;3188;0;0;908;SAN VICENTE;10;F;1;399;PUERTO CALDERA;211;COSTA RICA;MAERSK SEALAND;507;96653890;2;MAERSK SEALAND;96653890;2;0;211;;17092017;142;1;5;1;10264,13;0;0;10264,13;0;0;270;1;1;4274;10264,13;0; ;0; ;0;0;0;NO; ;;0;;0;;1;06011011        ~ BULBOS DE FLORES~ VALDIVIA LILIES-F~ DE LILIUM~ EN;REPOSO VEGETATIVO;;;;;;6011011;10;42900;,239257;10264,13;99;0000002901;KN;33;;0000000000.80;68;750;TLCCH-CR;4274                                                                                                                                                                                                                                                                          ;06012017;1;76;1;                                                     ;06012017;1;SLD360660;21122016;MAERSK GATESHEAD;146746                
6012017;7432999;55;200;3;1976;100;14106;0;3188;0;0;908;SAN VICENTE;10;F;1;399;PUERTO CALDERA;211;COSTA RICA;MAERSK SEALAND;507;96653890;2;MAERSK SEALAND;96653890;2;0;211;;17092017;142;1;5;1;13338,61;0;0;13338,61;0;0;270;1;1;3615,5;13338,61;0; ;0; ;0;0;0;NO; ;;0;;0;;1;06011011        ~ BULBOS DE FLORES~ VALDIVIA LILIES-F~ DE LILIUM~ EN;REPOSO VEGETATIVO;;;;;;6011011;10;57600;,231573;13338,61;99;0000002443;KN;33;;0000000000.80;68;750;TLCCH-CR;3615,5                                                                                                                                                                                                                                                                      ;06012017;1;76;1;                                                     ;06012017;1;SLD360660;21122016;MAERSK GATESHEAD;146746                
6012017;7460588;48;200;3;2534;100;7301;0;3188;0;0;992;AEROP.A.M.BENITEZ;11;R;4;141;MIAMI;225;U.S.A.;ATLAS AIR;225;96566940;K;NEXUS LOGISTICS S.A.;76320340;9;0;225;;27092017;13;3;9;1;13993,1;0;2589,1;11404;0;0;270;3;166;834;11404;2589,1; ;0; ;13993,1;0;0;NO; ;;0;;0;;1;PEONIAS         ~ PEONIA FRESCA~ CHILFRESH-F~ GRADO 50-60CM~ PAEONIA S;PP;;;;;;6031930;6;548;18,59854;10192;99;0000014560;UNIDADES;68;;SIN ACUERDO;0;;;564                                                                                                                                                                                                                                                                                                   ;06012017;1;22;166;ROTULADO                                           ;06012017;1;369-68886790;31122016;ATLAS AIR;625519                    
6012017;7460588;48;200;3;2534;100;7301;0;3188;0;0;992;AEROP.A.M.BENITEZ;11;R;4;141;MIAMI;225;U.S.A.;ATLAS AIR;225;96566940;K;NEXUS LOGISTICS S.A.;76320340;9;0;225;;27092017;13;3;9;1;13993,1;0;2589,1;11404;0;0;270;3;166;834;11404;2589,1; ;0; ;13993,1;0;0;NO; ;;0;;0;;2;EREMURUS        ~ EREMURUS FRESCOS~ CHILFRESH-F~ GRADO 80-90 CM~ EREMU;RUS SPP;;;;;;6031999;6;60;4,9;294;99;0000000980;VARAS;0;;;0;;;80                                                                                                                                                                                                                                                                                                                      ;06012017;1;22;166;ROTULADO                                           ;06012017;1;369-68886790;31122016;ATLAS AIR;625519                    
6012017;7460588;48;200;3;2534;100;7301;0;3188;0;0;992;AEROP.A.M.BENITEZ;11;R;4;141;MIAMI;225;U.S.A.;ATLAS AIR;225;96566940;K;NEXUS LOGISTICS S.A.;76320340;9;0;225;;27092017;13;3;9;1;13993,1;0;2589,1;11404;0;0;270;3;166;834;11404;2589,1; ;0; ;13993,1;0;0;NO; ;;0;;0;;3;BLACKBERRIES    ~ BLACKBERRIES FRESCOS~ CHILFRESH-F~ GRADO 45-50 CM~ C;ORTADOS PARA ADORNO;;;;;;6031999;6;170;5,4;918;99;0000003060;VARAS;0;;;0;;;190                                                                                                                                                                                                                                                                                                        ;06012017;1;22;166;ROTULADO                                           ;06012017;1;369-68886790;31122016;ATLAS AIR;625519                    
9012017;7390887;55;200;3;1976;100;14106;0;3188;0;0;908;SAN VICENTE;10;F;1;231;CARTAGENA;202;COLOMBIA;HAPAG-LLOYD;563;80992000;3;DENKERS CHILE S.P.A.;76356896;2;0;202;;24082017;142;1;5;1;16793,32;0;0;16793,32;0;0;270;1;1;5276;16793,32;0; ;0; ;0;0;0;NO; ;;0;;0;;1;06011011        ~ BULBOS DE FLORES~ VALDIVIA LILIES-F~ DE LILIUM~ EN;REPOSO VEGETATIVO;;;;;;6011011;10;72100;,232917;16793,32;99;0000003661;KN;33;;0000000001.00;68;640;ALCCH-COL;5276                                                                                                                                                                                                                                                                             ;09012017;1;76;1;                                                     ;09012017;1;DKSRCLSVE1611010;28112016;JPO LIBRA;145987                
9012017;7441437;55;200;3;1976;100;14106;0;3188;0;0;908;SAN VICENTE;10;F;1;213;VERACRUZ;216;MEXICO;HAPAG-LLOYD;563;80992000;3;HAPAG-LLOYD;80992000;3;0;216;;22092017;142;3;5;1;21503,01;0;0;21503,01;0;0;270;1;1;21562;21503,01;0; ;0; ;0;0;0;NO; ;;0;;0;;1;06011011        ~ BULBOS DE FLORES~ VALDIVIA LILIES-F~ DE LILIUM~ EN;REPOSO VEGETATIVO;;;;;;6011011;10;89985;,238962;21503,01;99;0000014527;KN;33;;0000000004.40;68;700;TLCCH-M;21562                                                                                                                                                                                                                                                                                         ;09012017;1;76;1;                                                     ;09012017;1;HLCUSCL161241405;26122016;LIMARI;146696                   
9012017;7453916;48;200;3;4196;100;10301;0;3188;0;0;992;AEROP.A.M.BENITEZ;10;F;4;141;MIAMI;225;U.S.A.;LAN CHILE;997;89862200;2;DANGEROUS & DRY CARGO S.A.;99535350;4;0;225;2;23092017;13;3;2;1;17160;0;2931,58;14228,42;0;0;270;1;143;976;14228,42;2931,58; ;0; ;0;0;0;NO; ;;0;;0;;1;SIN-CODIGO      ~ FLORES DE PEONIA~ EDUARDO ENGLER-F~ VAR.CORAL SUNSE;T,PEONIA SPP~ FRESCAS;;;;;;6031930;6;746;19,072949;14228,42;99;0000014300;UNIDADES;68;650;TLCCH-USA;64;a;VARIACION P/U;976                                                                                                                                                                                                                                                     ;09012017;1;22;143;ROT.                                               ;09012017;1;001-87818076;27122016;AMERICAN AIRLINES;618801            
