FECHAACEPT;NUMEROIDENT;ADUANA;TIPOOPERACION;CODIGORUTEXPORTADORPPAL;NRO_EXPORTADOR;PORCENTAJEEXPPPAL;COMUNAEXPORTADORPPAL;CODIGORUTEXPSEC;NRO_EXPORTADOR_SEC;PORCENTAJEEXPSECUNDARIO;COMUNAEXPSECUNDARIO;PUERTOEMB;GLOSAPUERTOEMB;REGIONORIGEN;TIPOCARGA;VIATRANSPORTE;PUERTODESEMB;GLOSAPUERTODESEMB;PAISDESTINO;GLOSAPAISDESTINO;NOMBRECIATRANSP;PAISCIATRANSP;RUTCIATRANSP;DVRUTCIATRANSP;NOMBREEMISORDOCTRANSP;RUTEMISOR;DVRUTEMISOR;CODIGOTIPOAUTORIZA;NUMEROINFORMEEXPO;DVNUMEROINFORMEEXP;FECHAINFORMEEXP;MONEDA;MODALIDADVENTA;CLAUSULAVENTA;FORMAPAGO;VALORCLAUSULAVENTA;COMISIONESEXTERIOR;OTROSGASTOS;VALORLIQUIDORETORNO;NUMEROREGSUSP;ADUANAREGSUSP;PLAZOVIGENCIAREGSUSP;TOTALITEM;TOTALBULTOS;PESOBRUTOTOTAL;TOTALVALORFOB;VALORFLETE;CODIGOFLETE;VALORSEGURO;CODIGOSEG;VALORCIF;NUMEROPARCIALIDAD;TOTALPARCIALES;PARCIAL;OBSERVACION;NUMERODOCTOCANCELA;FECHADOCTOCANCELA;TIPODOCTOCANCELA;PESOBRUTOCANCELA;TOTALBULTOSCANCELA;NUMEROITEM;NOMBRE;ATRIBUTO1;ATRIBUTO2;ATRIBUTO3;ATRIBUTO4;ATRIBUTO5;ATRIBUTO6;CODIGOARANCEL;UNIDADMEDIDA;CANTIDADMERCANCIA;FOBUNITARIO;FOBUS;CODIGOOBSERVACION1;VALOROBSERVACION1;GLOSAOBSERVACION1;CODIGOOBSERVACION2;VALOROBSERVACION2;GLOSAOBSERVACION2;CODIGOOBSERVACION3;VALOROBSERVACION3;GLOSAOBSERVACION3;PESOBRUTOITEM;FECHAACEPTPACKAGE;NUMEROBULTO;TIPOBULTO;CANTIDADBULTO;IDENTIFICACIONBULTO;FECHAACEPTTRANSPORT;NSECDOCTRANSP;NUMERODOCTRANSP;FECHADOCTRANSP;NOMBRENAVE;NUMEROVIAJE;YEAR;MONTH
3012011;4000808;48;200;3;4492;100;6116;0;3188;0;0;992;AEROP.A.M.BENITEZ;10;F;4;174;LOS ANGELES;225;U.S.A.;LAN CHILE;997;89862200;2;FENIX INTERNATIONAL CARGO LTDA;76026422;9;0;225;;2092011;13;1;2;1;8811;0;2558,16;6252,84;0;0;0;1;100;593;6252,84;2558,16; ;0; ;0;0;0;NO; ;;0;;0;;1;SIN-CODIGO      ~ FLORES DE PEONIA~ NOVAZEL-F~ 53 CMS PEONIA SPP~ FRES;CAS;;;;;;6031930;6;400;15,6321;6252,84;99;0000009900;UNIDADES;68;650;TLCCH-USA;0;;;593                                                                                                                                                                                                                                                                                     ;3012011;1;22;100;ROT.                                               ;3012011;1;045-53619915;6122010;LAN CHILE;265200                    ;2011;01
3012011;4000809;48;200;3;4492;100;6116;0;3188;0;0;992;AEROP.A.M.BENITEZ;10;R;4;174;LOS ANGELES;225;U.S.A.;LAN CHILE;997;89862200;2;FENIX INTERNATIONAL CARGO LTDA;76026422;9;0;225;;2092011;13;3;2;1;9692,1;0;2656,96;7035,14;0;0;0;1;110;653;7035,14;2656,96; ;0; ;0;0;0;NO; ;;0;;0;;1;SIN-CODIGO      ~ FLORES DE PEONIA~ NOVAZEL-F~ VAR.53CMS,PEONIA SPP~ F;RESCAS;;;;;;6031930;6;440;15,988955;7035,14;99;0000010890;UNIDADES;68;650;TLCCH-USA;0;;;653                                                                                                                                                                                                                                                                              ;3012011;1;22;110;ROT.                                               ;3012011;1;045-53619915;6122010;LAN CHILE;265200                    ;2011;01
3012011;4000810;48;200;3;4492;100;6116;0;3188;0;0;992;AEROP.A.M.BENITEZ;8;R;4;174;LOS ANGELES;225;U.S.A.;LAN CHILE;997;89862200;2;FENIX INTERNATIONAL CARGO LTDA;76026422;9;0;225;;2092011;13;3;2;1;9692,1;0;2656,96;7035,14;0;0;0;1;110;653;7035,14;2656,96; ;0; ;0;0;0;NO; ;;0;;0;;1;SIN-CODIGO      ~ FLORES DE PEONIA~ NOVAZEL-F~ VAR.53CMS,PEONIA SPP~ F;RESCAS;;;;;;6031930;6;440;15,988955;7035,14;99;0000010890;UNIDADES;68;650;TLCCH-USA;0;;;653                                                                                                                                                                                                                                                                               ;3012011;1;92;110;ROT.                                               ;3012011;1;045-53619915;6122010;LAN CHILE;265200                    ;2011;01
3012011;4011509;48;200;3;26431;100;10301;0;3188;0;0;992;AEROP.A.M.BENITEZ;10;R;4;621;AMSTERDAM;515;HOLANDA;AIR FRANCE;505;91750000;2;AIR FRANCE;91750000;2;0;515;;10022011;142;3;5;1;2485,25;0;0;2485,25;0;0;0;1;28;206;2485,25;0; ;0; ;0;0;0;NO; ;;0;;0;;1;0603FLO         ~FLORES~EXPOBERRIES-F~PEONIA LACTIFLORA~FRESCAS CORTAD;AS PARA RAMOS O ADORNOS FLORAL;ES;;;;;6031930;6;191;13,01178;2485,25;99;3160;UNIDADES;68;;SIN ACUERDO;0;;SELECCIONE;206                                                                                                                                                                                                                                                                               ;3012011;1;22;28;ROTULADO                                            ;3012011;1;057-59738011;12122010;AIR FRANCE;265248                   ;2011;01
3012011;4014135;48;200;3;4492;100;6116;0;3188;0;0;992;AEROP.A.M.BENITEZ;10;F;4;141;MIAMI;225;U.S.A.;LAN CHILE;997;89862200;2;FENIX INTERNATIONAL CARGO LTDA;76026422;9;0;225;;30092011;13;3;2;1;2700;0;549,25;2150,75;0;0;0;1;27;162;2150,75;549,25; ;0; ;0;0;0;NO; ;;0;;0;;1;SIN-CODIGO      ~ FLORES DE PEONIA~ NOVAZEL-F~  SARA BERNARD SPP~ FRES;CAS;;;;;;6031930;6;147,27;14,604128;2150,75;67;;VALOR DEFINITIVO;68;650;TLCCH-USA;0;;;162                                                                                                                                                                                                                                                                                           ;3012011;1;22;27;ROT.                                                ;3012011;1;04553659701;15122010;LAN CHILE;266490                     ;2011;01
3012011;4021934;48;200;3;4492;100;6116;0;3188;0;0;992;AEROP.A.M.BENITEZ;10;R;4;621;AMSTERDAM;515;HOLANDA;LAN CHILE;997;89862200;2;FENIX INTERNATIONAL CARGO LTDA;76026422;9;0;515;;25092011;142;3;2;1;2078,59;0;987,4;1091,19;0;0;0;3;196;258;1091,19;987,4; ;0; ;0;0;0;NO; ;;0;;0;;1;SIN-CODIGO      ~ FLORES DE PEONIA~ NOVAZEL-F~ PEONIA SPP~ FRESCAS;;;;;;;6031930;6;224;4,697723;1052,29;68;800;AAPCCH-UE;67;;VALOR DEFINITIVO;0;;;247                                                                                                                                                                                                                                                                                              ;3012011;1;22;196;ROT,                                               ;3012011;1;04553659933;18122010;LAN CHILE;266516                     ;2011;01
3012011;4021934;48;200;3;4492;100;6116;0;3188;0;0;992;AEROP.A.M.BENITEZ;10;R;4;621;AMSTERDAM;515;HOLANDA;LAN CHILE;997;89862200;2;FENIX INTERNATIONAL CARGO LTDA;76026422;9;0;515;;25092011;142;3;2;1;2078,59;0;987,4;1091,19;0;0;0;3;196;258;1091,19;987,4; ;0; ;0;0;0;NO; ;;0;;0;;2;SIN-CODIGO      ~ FLORES DE GENTIANA~ NOVAZEL-F~ VAR.ASHIRO GENTIAN~ G;ENTIANA SPP~ FRESCAS;;;;;;6031990;6;7;4,961429;34,73;99;0000000100;KILOS NETOS;71;;UNIDAD MEDIDA ESTIMADA;0;;;8                                                                                                                                                                                                                                                             ;3012011;1;22;196;ROT,                                               ;3012011;1;04553659933;18122010;LAN CHILE;266516                     ;2011;01
3012011;4021934;48;200;3;4492;100;6116;0;3188;0;0;992;AEROP.A.M.BENITEZ;10;R;4;621;AMSTERDAM;515;HOLANDA;LAN CHILE;997;89862200;2;FENIX INTERNATIONAL CARGO LTDA;76026422;9;0;515;;25092011;142;3;2;1;2078,59;0;987,4;1091,19;0;0;0;3;196;258;1091,19;987,4; ;0; ;0;0;0;NO; ;;0;;0;;3;SIN-CODIGO      ~ FLORES DE HORTENSIAS~ NOVAZEL-F~ VAR.DE CORTE HYDRAN;GEA SP~ FRESCAS;;;;;;6031990;6;2;2,085;4,17;0;;;0;;;0;;;3                                                                                                                                                                                                                                                                                                                   ;3012011;1;22;196;ROT,                                               ;3012011;1;04553659933;18122010;LAN CHILE;266516                     ;2011;01
3012011;4029781;48;200;3;3456;100;5503;0;3188;0;0;992;AEROP.A.M.BENITEZ;5;R;4;621;AMSTERDAM;515;HOLANDA;DELTA AIRLINES;225;59072510;2;A. HARTRODT;84007300;9;0;515;;24102011;142;3;2;1;15389,28;0;1499;13890,28;0;0;0;2;46;374;13890,28;1499; ;0; ;0;1;2;SI; ;;0;;0;;1;SIN-CODIGO      ~ PLANTAS IN VITRO~SONE MERICROM-F~ ZANTEDESCHIA;;;;;;;6029000;6;147,62;43,46071;6415,67;99;0000033892;UNIDADES;64;A;VARIACION P/U;68;800;ACUERDO COMERCIAL;172,75                                                                                                                                                                                                                                                                                ;3012011;1;22;46;ROTULADO                                            ;3012011;1;006-7986 8202;24122010;DL;265674                          ;2011;01
3012011;4029781;48;200;3;3456;100;5503;0;3188;0;0;992;AEROP.A.M.BENITEZ;5;R;4;621;AMSTERDAM;515;HOLANDA;DELTA AIRLINES;225;59072510;2;A. HARTRODT;84007300;9;0;515;;24102011;142;3;2;1;15389,28;0;1499;13890,28;0;0;0;2;46;374;13890,28;1499; ;0; ;0;1;2;SI; ;;0;;0;;2;SIN-CODIGO      ~ PLANTAS IN VITRO~SONE MERICROM-F~ ZANTEDESCHIA;;;;;;;6029000;6;171,98;43,462089;7474,61;99;0000039486;UNIDADES;68;800;ACUERDO COMERCIAL;0;;;201,25                                                                                                                                                                                                                                                                                              ;3012011;1;22;46;ROTULADO                                            ;3012011;1;006-7986 8202;24122010;DL;265674                          ;2011;01
