FECHAACEPT;NUMEROIDENT;ADUANA;TIPOOPERACION;CODIGORUTEXPORTADORPPAL;NRO_EXPORTADOR;PORCENTAJEEXPPPAL;COMUNAEXPORTADORPPAL;CODIGORUTEXPSEC;NRO_EXPORTADOR_SEC;PORCENTAJEEXPSECUNDARIO;COMUNAEXPSECUNDARIO;PUERTOEMB;GLOSAPUERTOEMB;REGIONORIGEN;TIPOCARGA;VIATRANSPORTE;PUERTODESEMB;GLOSAPUERTODESEMB;PAISDESTINO;GLOSAPAISDESTINO;NOMBRECIATRANSP;PAISCIATRANSP;RUTCIATRANSP;DVRUTCIATRANSP;NOMBREEMISORDOCTRANSP;RUTEMISOR;DVRUTEMISOR;CODIGOTIPOAUTORIZA;NUMEROINFORMEEXPO;DVNUMEROINFORMEEXP;FECHAINFORMEEXP;MONEDA;MODALIDADVENTA;CLAUSULAVENTA;FORMAPAGO;VALORCLAUSULAVENTA;COMISIONESEXTERIOR;OTROSGASTOS;VALORLIQUIDORETORNO;NUMEROREGSUSP;ADUANAREGSUSP;PLAZOVIGENCIAREGSUSP;TOTALITEM;TOTALBULTOS;PESOBRUTOTOTAL;TOTALVALORFOB;VALORFLETE;CODIGOFLETE;VALORSEGURO;CODIGOSEG;VALORCIF;NUMEROPARCIALIDAD;TOTALPARCIALES;PARCIAL;OBSERVACION;NUMERODOCTOCANCELA;FECHADOCTOCANCELA;TIPODOCTOCANCELA;PESOBRUTOCANCELA;TOTALBULTOSCANCELA;NUMEROITEM;NOMBRE;ATRIBUTO1;ATRIBUTO2;ATRIBUTO3;ATRIBUTO4;ATRIBUTO5;ATRIBUTO6;CODIGOARANCEL;UNIDADMEDIDA;CANTIDADMERCANCIA;FOBUNITARIO;FOBUS;CODIGOOBSERVACION1;VALOROBSERVACION1;GLOSAOBSERVACION1;CODIGOOBSERVACION2;VALOROBSERVACION2;GLOSAOBSERVACION2;CODIGOOBSERVACION3;VALOROBSERVACION3;GLOSAOBSERVACION3;PESOBRUTOITEM;FECHAACEPTPACKAGE;NUMEROBULTO;TIPOBULTO;CANTIDADBULTO;IDENTIFICACIONBULTO;FECHAACEPTTRANSPORT;NSECDOCTRANSP;NUMERODOCTRANSP;FECHADOCTRANSP;NOMBRENAVE;NUMEROVIAJE;YEAR;MONTH
5012016;6852171;34;200;3;3833;100;10303;0;3188;0;0;905;VALPARAISO;10;F;1;499;HO CHI MINH;325;VIETNAM;CMA CGM;505;80992000;3;CMA CGM;80992000;3;0;325;3.0;2032016;13;1;5;1;5148,43;0;0;5148,43;0;0;70;1;1;3075;5148,43;750; ;0; ;0;3;3;SI; ;;0;;0;;1;SIN-CODIGO      ~ BULBOS DE FLORES~ VALDIVIA LILIES-F~ DE LILIUM~ EN;REPOSO VEGETATIVO;;;;;;6011011;10;28600;,180015;5148,43;68;829.0;TLCCH-VIET;99;28600.0;UNIDADES;33.0;;0000000000.60;3075                                                                                                                                                                                                                                                                                          ;5012016;1;76;1;                                                     ;5012016;1;SNG0192446A;23122015;SANTA BARBARA;132730                 ;2016;01
5012016;6869090;48;200;3;736;100;13114;0;3188;0;0;992;AEROP.A.M.BENITEZ;13;R;4;576;MOUNT PLEASANT;510;REINO UNIDO;LAN CHILE;997;89862200;2;LAN CHILE;89862200;2;0;510;;25012016;13;1;10;1;4785,5;0;0;4785,5;0;0;30;12;143;1681;4785,5;3510,98; ;0; ;0;0;0;NO; ;;0;;0;;6;SIN-CODIGO      ~ FLORES FRESCAS~ DAVID GRIFFITHS-F~ FLO100~ SURTIDAS;CORTADAS PARA CONFECCION DE RA;MOS Y ADORNOS~;;;;;6031999;6;12;12;144;99;12.0;KILO NETO;0;;;0.0;;;17                                                                                                                                                                                                                                                                                   ;5012016;1;22;143;ROTULADO                                           ;5012016;1;045-88118365;26122015;LAN CHILE;561045                    ;2016;01
5012016;6869104;48;200;3;2534;100;7301;0;3188;0;0;992;AEROP.A.M.BENITEZ;10;R;4;141;MIAMI;225;U.S.A.;ATLAS AIR;225;96566940;K;NEWPORT CARGO S.A.;76320340;9;0;225;;19092016;13;3;9;1;59322,6;0;11788,6;47534;0;0;270;9;624;3100;47534;11788,6; ;0; ;59322,6;0;0;NO; ;;0;;0;;1;PEONIAS         ~ PEONIA FRESCA~ CHILFRESH-F~ GRADO 50-60CM~ PAEONIA S;PP;;;;;;6031930;6;2208;18,786232;41480;99;51850.0;UNIDADES;68;;SIN ACUERDO;0.0;;;2470                                                                                                                                                                                                                                                                                               ;5012016;1;22;624;ROTULADO                                           ;5012016;1;369-67733606;24122015;ATLAS AIR;560640                    ;2016;01
5012016;6869104;48;200;3;2534;100;7301;0;3188;0;0;992;AEROP.A.M.BENITEZ;10;R;4;141;MIAMI;225;U.S.A.;ATLAS AIR;225;96566940;K;NEWPORT CARGO S.A.;76320340;9;0;225;;19092016;13;3;9;1;59322,6;0;11788,6;47534;0;0;270;9;624;3100;47534;11788,6; ;0; ;59322,6;0;0;NO; ;;0;;0;;2;EREMURUS        ~ EREMURUS FRESCOS~ CHILFRESH-F~ GRADO 80-90 CM~ EREMU;RUS SPP~;;;;;;6031999;6;136;10,661765;1450;99;2900.0;VARAS;0;;;0.0;;;190                                                                                                                                                                                                                                                                                                           ;5012016;1;22;624;ROTULADO                                           ;5012016;1;369-67733606;24122015;ATLAS AIR;560640                    ;2016;01
5012016;6869104;48;200;3;2534;100;7301;0;3188;0;0;992;AEROP.A.M.BENITEZ;10;R;4;141;MIAMI;225;U.S.A.;ATLAS AIR;225;96566940;K;NEWPORT CARGO S.A.;76320340;9;0;225;;19092016;13;3;9;1;59322,6;0;11788,6;47534;0;0;270;9;624;3100;47534;11788,6; ;0; ;59322,6;0;0;NO; ;;0;;0;;3;GENTIANA        ~ GENTIANAS FRESCAS~ CHILFRES-F~ GENTIANA SPP~ GRADO 6;0 - 70 CM~;;;;;;6031999;6;32;26,25;840;99;1680.0;VARAS;0;;;0.0;;;40                                                                                                                                                                                                                                                                                                                ;5012016;1;22;624;ROTULADO                                           ;5012016;1;369-67733606;24122015;ATLAS AIR;560640                    ;2016;01
5012016;6869104;48;200;3;2534;100;7301;0;3188;0;0;992;AEROP.A.M.BENITEZ;10;R;4;141;MIAMI;225;U.S.A.;ATLAS AIR;225;96566940;K;NEWPORT CARGO S.A.;76320340;9;0;225;;19092016;13;3;9;1;59322,6;0;11788,6;47534;0;0;270;9;624;3100;47534;11788,6; ;0; ;59322,6;0;0;NO; ;;0;;0;;4;CALAS           ~ CALAS FRESCAS~ CHILFRESH-F~ GRADO 60-90CM~ ZANTEDESH;IA SPP~;;;;;;6031960;6;14;8,571429;120;99;400.0;VARAS;0;;;0.0;;;17                                                                                                                                                                                                                                                                                                                ;5012016;1;22;624;ROTULADO                                           ;5012016;1;369-67733606;24122015;ATLAS AIR;560640                    ;2016;01
5012016;6869104;48;200;3;2534;100;7301;0;3188;0;0;992;AEROP.A.M.BENITEZ;10;R;4;141;MIAMI;225;U.S.A.;ATLAS AIR;225;96566940;K;NEWPORT CARGO S.A.;76320340;9;0;225;;19092016;13;3;9;1;59322,6;0;11788,6;47534;0;0;270;9;624;3100;47534;11788,6; ;0; ;59322,6;0;0;NO; ;;0;;0;;5;ASTILBE         ~ ASTILBE FRESCO~ CHILFRESH-F~ GRADO 60-70 CM~ ASTILBE;SPP~;;;;;;6031999;6;20;21;420;99;1400.0;VARAS;0;;;0.0;;;25                                                                                                                                                                                                                                                                                                                         ;5012016;1;22;624;ROTULADO                                           ;5012016;1;369-67733606;24122015;ATLAS AIR;560640                    ;2016;01
5012016;6869104;48;200;3;2534;100;7301;0;3188;0;0;992;AEROP.A.M.BENITEZ;10;R;4;141;MIAMI;225;U.S.A.;ATLAS AIR;225;96566940;K;NEWPORT CARGO S.A.;76320340;9;0;225;;19092016;13;3;9;1;59322,6;0;11788,6;47534;0;0;270;9;624;3100;47534;11788,6; ;0; ;59322,6;0;0;NO; ;;0;;0;;6;AGAPANTHUS      ~ AGAPANTHUS~ CHILFRESH-F~ CAL.50-70CM~ FLORES FRESCAS;~;;;;;;6031999;6;196;8,234694;1614;99;5380.0;VARAS;0;;;0.0;;;216                                                                                                                                                                                                                                                                                                                   ;5012016;1;22;624;ROTULADO                                           ;5012016;1;369-67733606;24122015;ATLAS AIR;560640                    ;2016;01
5012016;6869104;48;200;3;2534;100;7301;0;3188;0;0;992;AEROP.A.M.BENITEZ;10;R;4;141;MIAMI;225;U.S.A.;ATLAS AIR;225;96566940;K;NEWPORT CARGO S.A.;76320340;9;0;225;;19092016;13;3;9;1;59322,6;0;11788,6;47534;0;0;270;9;624;3100;47534;11788,6; ;0; ;59322,6;0;0;NO; ;;0;;0;;7;BLACKBERRIES    ~ BLACKBERRIES FRESCOS~ CHILFRESH-F~ GRADO 45-50 CM~~;CORTADOS PARA ADORNO~;;;;;;6031999;6;105;10;1050;99;2100.0;VARAS;0;;;0.0;;;120                                                                                                                                                                                                                                                                                                      ;5012016;1;22;624;ROTULADO                                           ;5012016;1;369-67733606;24122015;ATLAS AIR;560640                    ;2016;01
5012016;6869104;48;200;3;2534;100;7301;0;3188;0;0;992;AEROP.A.M.BENITEZ;10;R;4;141;MIAMI;225;U.S.A.;ATLAS AIR;225;96566940;K;NEWPORT CARGO S.A.;76320340;9;0;225;;19092016;13;3;9;1;59322,6;0;11788,6;47534;0;0;270;9;624;3100;47534;11788,6; ;0; ;59322,6;0;0;NO; ;;0;;0;;8;ORNITHOGALUM    ~ ORNITHOGALUM FRESCOS~ CHILFRESH-F~ 45-50 CMS~ ORNITH;OGALUM SP~;;;;;;6031999;6;8;40;320;99;800.0;VARAS;0;;;0.0;;;9                                                                                                                                                                                                                                                                                                                     ;5012016;1;22;624;ROTULADO                                           ;5012016;1;369-67733606;24122015;ATLAS AIR;560640                    ;2016;01
