TPO_DOCTO;ADU;FORM;FECVENCI;CODCOMUN;NUM_UNICO_IMPORTADOR;CODPAISCON;DESDIRALM;CODCOMRS;ADUCTROL;NUMPLAZO;INDPARCIAL;NUMHOJINS;TOTINSUM;CODALMA;NUM_RS;FEC_RS;ADUA_RS;NUMHOJANE;NUM_SEC;PA_ORIG;PA_ADQ;VIA_TRAN;TRANSB;PTO_EMB;PTO_DESEM;TPO_CARGA;ALMACEN;FEC_ALMAC;FECRETIRO;NU_REGR;ANO_REG;CODVISBUEN;NUMREGLA;NUMANORES;CODULTVB;PAGO_GRAV;FECTRA;FECACEP;GNOM_CIA_T;CODPAISCIA;NUMRUTCIA;DIGVERCIA;NUM_MANIF;NUM_MANIF1;NUM_MANIF2;FEC_MANIF;NUM_CONOC;FEC_CONOC;NOMEMISOR;NUMRUTEMI;DIGVEREMI;GREG_IMP;REG_IMP;BCO_COM;CODORDIV;FORM_PAGO;NUMDIAS;VALEXFAB;MONEDA;MONGASFOB;CL_COMPRA;TOT_ITEMS;FOB;TOT_HOJAS;COD_FLE;FLETE;TOT_BULTOS;COD_SEG;SEGURO;TOT_PESO;CIF;NUM_AUT;FEC_AUT;GBCOCEN;ID_BULTOS;TPO_BUL1;CANT_BUL1;TPO_BUL2;CANT_BUL2;TPO_BUL3;CANT_BUL3;TPO_BUL4;CANT_BUL4;TPO_BUL5;CANT_BUL5;TPO_BUL6;CANT_BUL6;TPO_BUL7;CANT_BUL7;TPO_BUL8;CANT_BUL8;CTA_OTRO;MON_OTRO;CTA_OTR1;MON_OTR1;CTA_OTR2;MON_OTR2;CTA_OTR3;MON_OTR3;CTA_OTR4;MON_OTR4;CTA_OTR5;MON_OTR5;CTA_OTR6;MON_OTR6;CTA_OTR7;MON_OTR7;MON_178;MON_191;FEC_501;VAL_601;FEC_502;VAL_602;FEC_503;VAL_603;FEC_504;VAL_604;FEC_505;VAL_605;FEC_506;VAL_606;FEC_507;VAL_607;TASA;NCUOTAS;ADU_DI;NUM_DI;FEC_DI;MON_699;MON_199;NUMITEM;DNOMBRE;DMARCA;DVARIEDAD;DOTRO1;DOTRO2;ATR_5;ATR_6;SAJU_ITEM;AJU_ITEM;CANT_MERC;MERMAS;MEDIDA;PRE_UNIT;ARANC_ALA;NUMCOR;NUMACU;CODOBS1;DESOBS1;CODOBS2;DESOBS2;CODOBS3;DESOBS3;CODOBS4;DESOBS4;ARANC_NAC;CIF_ITEM;ADVAL_ALA;ADVAL;VALAD;OTRO1;CTA1;SIGVAL1;VAL1;OTRO2;CTA2;SIGVAL2;VAL2;OTRO3;CTA3;SIGVAL3;VAL3;OTRO4;CTA4;SIGVAL4;VAL4;YEAR;MONTH
151;34;15;18012014;13104;35472;218;;;0;0.0;0;0;0;0;;0;0;0;0.0;218;218;1;;242;905;F;;0;0;;;;;;;4;3012014;3012014;C.S.A.V.;997;90160000.0;7;105672;;;0;QNAB3GM00;30122013;C.S.A.V.;90160000;7;ALADI;71;0;0;1;120;0;13;0;5;2;34080;2;0;3010;1;2;681,6;5052;37771,6;999.0;0; ; ;76;1;;;;;;;;;;;;;;;223.0;0;;0;;0;;0;;0;;0;;0;;0;7176,6;7176,6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;0;1;SIN-CODIGO      ~ ROSAS~ FRESH-F~ FRESCAS~ FLORESC;ORTADAS PARA RAMOS O ADORNOS;;;;;;;0;3751;0;6;7,272727;6031000.0;0;565;99.0;00000341.000000 PIEZAS;96.0;19353-2014;;;;;6031100;30235,01;0;223;0;19;178.0;+;5744,65;0;;;0;0.0;;;0;0.0;;;0;2014;01
151;34;15;18012014;13104;35472;218;;;0;0.0;0;0;0;0;;0;0;0;0.0;218;218;1;;242;905;F;;0;0;;;;;;;4;3012014;3012014;C.S.A.V.;997;90160000.0;7;105672;;;0;QNAB3GM00;30122013;C.S.A.V.;90160000;7;ALADI;71;0;0;1;120;0;13;0;5;2;34080;2;0;3010;1;2;681,6;5052;37771,6;999.0;0; ; ;76;1;;;;;;;;;;;;;;;223.0;0;;0;;0;;0;;0;;0;;0;;0;7176,6;7176,6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;0;2;SIN-CODIGO      ~ GYPSO~ FRESH-F~ FRESCAS~ FLORESC;ORTADOS PARA RAMOS O ADORNOS;;;;;;;0;880;0;6;7,727273;6031000.0;0;565;99.0;00000080.000000 PIEZAS;;;;;;;6031970;7536,59;0;223;0;19;178.0;+;1431,95;0;;;0;0.0;;;0;0.0;;;0;2014;01
151;34;15;28012014;13101;34487;218;;;0;0.0;0;0;0;0;;0;0;0;0.0;218;218;1;;242;905;F;;0;0;;;;;;;4;13012014;13012014;HAMBURG SUD;563;59059900.0;K;106176;;;0;SUDUB45012420001;6012014;HAMBURG SUD CHILE;59059900;K;ALADI;71;0;0;32;0;0;13;0;5;8;25967,05;3;0;2470,39;1;2;519,34;5865;28956,78;999.0;0; ; ;76;1;;;;;;;;;;;;;;;223.0;0;;0;;0;;0;;0;;0;;0;;0;5501,79;5501,79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;0;1;Y-ROSAS         ~ ROSAS~ TRANSINTERNACIONAL-F~ FRE;SCAS~ FLORES CORTADAS PARA RAM;OS O ADORNOS~;;;;;;0;619,0385;0;6;5,7557;6031000.0;0;565;99.0;00000069.000000 PIEZAS;96.0;374-2014;;;;;6031100;3973,23;0;223;0;19;178.0;+;754,91;0;;;0;0.0;;;0;0.0;;;0;2014;01
151;34;15;28012014;13101;34487;218;;;0;0.0;0;0;0;0;;0;0;0;0.0;218;218;1;;242;905;F;;0;0;;;;;;;4;13012014;13012014;HAMBURG SUD;563;59059900.0;K;106176;;;0;SUDUB45012420001;6012014;HAMBURG SUD CHILE;59059900;K;ALADI;71;0;0;32;0;0;13;0;5;8;25967,05;3;0;2470,39;1;2;519,34;5865;28956,78;999.0;0; ; ;76;1;;;;;;;;;;;;;;;223.0;0;;0;;0;;0;;0;;0;;0;;0;5501,79;5501,79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;0;2;Y-ROSAS         ~ ROSAS~ TRANSINTERNACIONAL-F~ FRE;SCAS~ FLORES CORTADAS PARA RAM;OS O ADORNOS~;;;;;;0;608,7462;0;6;5,755683;6031000.0;0;565;99.0;00000045.000000 PIEZAS;;;;;;;6031100;3907,16;0;223;0;19;178.0;+;742,36;0;;;0;0.0;;;0;0.0;;;0;2014;01
151;34;15;28012014;13101;34487;218;;;0;0.0;0;0;0;0;;0;0;0;0.0;218;218;1;;242;905;F;;0;0;;;;;;;4;13012014;13012014;HAMBURG SUD;563;59059900.0;K;106176;;;0;SUDUB45012420001;6012014;HAMBURG SUD CHILE;59059900;K;ALADI;71;0;0;32;0;0;13;0;5;8;25967,05;3;0;2470,39;1;2;519,34;5865;28956,78;999.0;0; ; ;76;1;;;;;;;;;;;;;;;223.0;0;;0;;0;;0;;0;;0;;0;;0;5501,79;5501,79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;0;3;Y-ROSAS         ~ ROSAS~ TRANSINTERNACIONAL-F~ FRE;SCAS~ FLORES CORTADAS PARA RAM;OS O ADORNOS~;;;;;;0;445,3;0;6;5,75567;6031000.0;0;565;99.0;00000029.000000 PIEZAS;;;;;;;6031100;2858,09;0;223;0;19;178.0;+;543,04;0;;;0;0.0;;;0;0.0;;;0;2014;01
151;34;15;28012014;13101;34487;218;;;0;0.0;0;0;0;0;;0;0;0;0.0;218;218;1;;242;905;F;;0;0;;;;;;;4;13012014;13012014;HAMBURG SUD;563;59059900.0;K;106176;;;0;SUDUB45012420001;6012014;HAMBURG SUD CHILE;59059900;K;ALADI;71;0;0;32;0;0;13;0;5;8;25967,05;3;0;2470,39;1;2;519,34;5865;28956,78;999.0;0; ; ;76;1;;;;;;;;;;;;;;;223.0;0;;0;;0;;0;;0;;0;;0;;0;5501,79;5501,79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;0;4;Y-ROSAS         ~ ROSAS~ TRANSINTERNACIONAL-F~ FRE;SCAS~ FLORES CORTADAS PARA RAM;OS O ADORNOS~;;;;;;0;271,5538;0;6;5,755766;6031000.0;0;565;99.0;00000020.000000 PIEZAS;;;;;;;6031100;1742,96;0;223;0;19;178.0;+;331,16;0;;;0;0.0;;;0;0.0;;;0;2014;01
151;34;15;28012014;13101;34487;218;;;0;0.0;0;0;0;0;;0;0;0;0.0;218;218;1;;242;905;F;;0;0;;;;;;;4;13012014;13012014;HAMBURG SUD;563;59059900.0;K;106176;;;0;SUDUB45012420001;6012014;HAMBURG SUD CHILE;59059900;K;ALADI;71;0;0;32;0;0;13;0;5;8;25967,05;3;0;2470,39;1;2;519,34;5865;28956,78;999.0;0; ; ;76;1;;;;;;;;;;;;;;;223.0;0;;0;;0;;0;;0;;0;;0;;0;5501,79;5501,79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;0;5;Y-ROSAS         ~ ROSAS~ TRANSINTERNACIONAL-F~ FRE;SCAS~ FLORES CORTADAS PARA RAM;OS O ADORNOS~;;;;;;0;1931,5615;0;6;5,755706;6031000.0;0;565;99.0;00000181.000000 PIEZAS;20.0;MERCANCIAS DE MAS DE UN MODELO;;;;;6031100;12397,52;0;223;0;19;178.0;+;2355,53;0;;;0;0.0;;;0;0.0;;;0;2014;01
151;34;15;28012014;13101;34487;218;;;0;0.0;0;0;0;0;;0;0;0;0.0;218;218;1;;242;905;F;;0;0;;;;;;;4;13012014;13012014;HAMBURG SUD;563;59059900.0;K;106176;;;0;SUDUB45012420001;6012014;HAMBURG SUD CHILE;59059900;K;ALADI;71;0;0;32;0;0;13;0;5;8;25967,05;3;0;2470,39;1;2;519,34;5865;28956,78;999.0;0; ; ;76;1;;;;;;;;;;;;;;;223.0;0;;0;;0;;0;;0;;0;;0;;0;5501,79;5501,79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;0;6;Y-GIPSO         ~ GYPSOPHILA~ TRANSINTERNACIONAL-F;~ FRESCAS~ FLORES CORTADAS PAR;A RAMOS O ADORNOS~;;;;;;0;125,0923;0;6;5,75575;6031000.0;0;565;99.0;00000010.000000 PIEZAS;;;;;;;6031970;802,9;0;223;0;19;178.0;+;152,55;0;;;0;0.0;;;0;0.0;;;0;2014;01
151;34;15;28012014;13101;34487;218;;;0;0.0;0;0;0;0;;0;0;0;0.0;218;218;1;;242;905;F;;0;0;;;;;;;4;13012014;13012014;HAMBURG SUD;563;59059900.0;K;106176;;;0;SUDUB45012420001;6012014;HAMBURG SUD CHILE;59059900;K;ALADI;71;0;0;32;0;0;13;0;5;8;25967,05;3;0;2470,39;1;2;519,34;5865;28956,78;999.0;0; ; ;76;1;;;;;;;;;;;;;;;223.0;0;;0;;0;;0;;0;;0;;0;;0;5501,79;5501,79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;0;7;Y-GIPSO         ~ GYPSOPHILA~ TRANSINTERNACIONAL-F;~ FRESCAS~ FLORES CORTADAS PAR;A RAMOS O ADORNOS~;;;;;;0;342,2692;0;6;5,755703;6031000.0;0;565;99.0;00000025.000000 PIEZAS;;;;;;;6031970;2196,82;0;223;0;19;178.0;+;417,4;0;;;0;0.0;;;0;0.0;;;0;2014;01
151;34;15;28012014;13101;34487;218;;;0;0.0;0;0;0;0;;0;0;0;0.0;218;218;1;;242;905;F;;0;0;;;;;;;4;13012014;13012014;HAMBURG SUD;563;59059900.0;K;106176;;;0;SUDUB45012420001;6012014;HAMBURG SUD CHILE;59059900;K;ALADI;71;0;0;32;0;0;13;0;5;8;25967,05;3;0;2470,39;1;2;519,34;5865;28956,78;999.0;0; ; ;76;1;;;;;;;;;;;;;;;223.0;0;;0;;0;;0;;0;;0;;0;;0;5501,79;5501,79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;0;8;Y-HIPER         ~ HYPERICUM~ TRANSINTERNACIONAL-F~;FRESCAS~ FLORES CORTADAS PARA;RAMOS O ADORNOS~;;;;;;0;167,9692;0;6;5,755817;6031000.0;0;565;99.0;00000012.000000 PIEZAS;;;;;;;6031980;1078,1;0;223;0;19;178.0;+;204,84;0;;;0;0.0;;;0;0.0;;;0;2014;01
