TPO_DOCTO;ADU;FORM;FECVENCI;CODCOMUN;NUM_UNICO_IMPORTADOR;CODPAISCON;DESDIRALM;CODCOMRS;ADUCTROL;NUMPLAZO;INDPARCIAL;NUMHOJINS;TOTINSUM;CODALMA;NUM_RS;FEC_RS;ADUA_RS;NUMHOJANE;NUM_SEC;PA_ORIG;PA_ADQ;VIA_TRAN;TRANSB;PTO_EMB;PTO_DESEM;TPO_CARGA;ALMACEN;FEC_ALMAC;FECRETIRO;NU_REGR;ANO_REG;CODVISBUEN;NUMREGLA;NUMANORES;CODULTVB;PAGO_GRAV;FECTRA;FECACEP;GNOM_CIA_T;CODPAISCIA;NUMRUTCIA;DIGVERCIA;NUM_MANIF;NUM_MANIF1;NUM_MANIF2;FEC_MANIF;NUM_CONOC;FEC_CONOC;NOMEMISOR;NUMRUTEMI;DIGVEREMI;GREG_IMP;REG_IMP;BCO_COM;CODORDIV;FORM_PAGO;NUMDIAS;VALEXFAB;MONEDA;MONGASFOB;CL_COMPRA;TOT_ITEMS;FOB;TOT_HOJAS;COD_FLE;FLETE;TOT_BULTOS;COD_SEG;SEGURO;TOT_PESO;CIF;NUM_AUT;FEC_AUT;GBCOCEN;ID_BULTOS;TPO_BUL1;CANT_BUL1;TPO_BUL2;CANT_BUL2;TPO_BUL3;CANT_BUL3;TPO_BUL4;CANT_BUL4;TPO_BUL5;CANT_BUL5;TPO_BUL6;CANT_BUL6;TPO_BUL7;CANT_BUL7;TPO_BUL8;CANT_BUL8;CTA_OTRO;MON_OTRO;CTA_OTR1;MON_OTR1;CTA_OTR2;MON_OTR2;CTA_OTR3;MON_OTR3;CTA_OTR4;MON_OTR4;CTA_OTR5;MON_OTR5;CTA_OTR6;MON_OTR6;CTA_OTR7;MON_OTR7;MON_178;MON_191;FEC_501;VAL_601;FEC_502;VAL_602;FEC_503;VAL_603;FEC_504;VAL_604;FEC_505;VAL_605;FEC_506;VAL_606;FEC_507;VAL_607;TASA;NCUOTAS;ADU_DI;NUM_DI;FEC_DI;MON_699;MON_199;NUMITEM;DNOMBRE;DMARCA;DVARIEDAD;DOTRO1;DOTRO2;ATR_5;ATR_6;SAJU_ITEM;AJU_ITEM;CANT_MERC;MERMAS;MEDIDA;PRE_UNIT;ARANC_ALA;NUMCOR;NUMACU;CODOBS1;DESOBS1;CODOBS2;DESOBS2;CODOBS3;DESOBS3;CODOBS4;DESOBS4;ARANC_NAC;CIF_ITEM;ADVAL_ALA;ADVAL;VALAD;OTRO1;CTA1;SIGVAL1;VAL1;OTRO2;CTA2;SIGVAL2;VAL2;OTRO3;CTA3;SIGVAL3;VAL3;OTRO4;CTA4;SIGVAL4;VAL4;YEAR;MONTH
151;39;15;21012012;13108;33042;218;;;0;0.0;0;0;0;0;;0;0;0;0.0;218;218;1;;242;906;F;;0;0;;;;;;;4;6012012;6012012;CSAV;997;90160000.0;7;76530;;;0;QNAAN4L00;3012012;CSAV;90160000;7;ALADI;71;0;0;32;0;0;13;0;5;5;17891,83;2;0;3235;1;2;357,84;4248;21484,67;999.0;0; ; ;76;1;;;;;;;;;;;;;;;223.0;0;;0;;0;;0;;0;;0;;0;;0;4082,09;4082,09;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;0;1;Y-ROSA          ~ ROSAS~ DENMAR-F~ FRESCAS~ FLORES;CORTADAS PARA RAMOS O ADORNOS;~;;;;;;0;2717;0;6;4,853636;6031000.0;0;565;99.0;00000247.000000 PIEZAS;96.0;197-2012;;;;;6031100;15835,46;0;223;0;19;178.0;+;3008,74;0;;;0;0;;;0;0;;;0;2012;01
151;39;15;21012012;13108;33042;218;;;0;0.0;0;0;0;0;;0;0;0;0.0;218;218;1;;242;906;F;;0;0;;;;;;;4;6012012;6012012;CSAV;997;90160000.0;7;76530;;;0;QNAAN4L00;3012012;CSAV;90160000;7;ALADI;71;0;0;32;0;0;13;0;5;5;17891,83;2;0;3235;1;2;357,84;4248;21484,67;999.0;0; ; ;76;1;;;;;;;;;;;;;;;223.0;0;;0;;0;;0;;0;;0;;0;;0;4082,09;4082,09;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;0;2;Y-CRIS          ~ CRISANTEMO~ FLORISOL-F~ FRESCAS~;FLORES CORTADAS PARA RAMOS O;ADORNOS~;;;;;;0;825;0;6;3,670909;6031000.0;0;565;99.0;00000075.000000 PIEZAS;;;;;;;6031400;3636,65;0;223;0;19;178.0;+;690,96;0;;;0;0;;;0;0;;;0;2012;01
151;39;15;21012012;13108;33042;218;;;0;0.0;0;0;0;0;;0;0;0;0.0;218;218;1;;242;906;F;;0;0;;;;;;;4;6012012;6012012;CSAV;997;90160000.0;7;76530;;;0;QNAAN4L00;3012012;CSAV;90160000;7;ALADI;71;0;0;32;0;0;13;0;5;5;17891,83;2;0;3235;1;2;357,84;4248;21484,67;999.0;0; ; ;76;1;;;;;;;;;;;;;;;223.0;0;;0;;0;;0;;0;;0;;0;;0;4082,09;4082,09;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;0;3;Y-HIPE          ~ HIPERICUM~ FLORISOL-F~ FRESCOS~;FLORES CORTADAS PARA RAMOS O A;DORNOS~;;;;;;0;88;0;6;5,681818;6031000.0;0;565;99.0;00000008.000000 PIEZAS;;;;;;;6031980;600,4;0;223;0;19;178.0;+;114,08;0;;;0;0;;;0;0;;;0;2012;01
151;39;15;21012012;13108;33042;218;;;0;0.0;0;0;0;0;;0;0;0;0.0;218;218;1;;242;906;F;;0;0;;;;;;;4;6012012;6012012;CSAV;997;90160000.0;7;76530;;;0;QNAAN4L00;3012012;CSAV;90160000;7;ALADI;71;0;0;32;0;0;13;0;5;5;17891,83;2;0;3235;1;2;357,84;4248;21484,67;999.0;0; ; ;76;1;;;;;;;;;;;;;;;223.0;0;;0;;0;;0;;0;;0;;0;;0;4082,09;4082,09;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;0;4;Y-GYP           ~ GYPSOPHILA~ FLORISOL-F~ FRESCAS~;FLORES CORTADAS PARA RAMOS O;ADORNOS;;;;;;0;220;0;6;4,8;6031000.0;0;565;99.0;00000020.000000 PIEZAS;;;;;;;6031970;1268,05;0;223;0;19;178.0;+;240,93;0;;;0;0;;;0;0;;;0;2012;01
151;39;15;21012012;13108;33042;218;;;0;0.0;0;0;0;0;;0;0;0;0.0;218;218;1;;242;906;F;;0;0;;;;;;;4;6012012;6012012;CSAV;997;90160000.0;7;76530;;;0;QNAAN4L00;3012012;CSAV;90160000;7;ALADI;71;0;0;32;0;0;13;0;5;5;17891,83;2;0;3235;1;2;357,84;4248;21484,67;999.0;0; ; ;76;1;;;;;;;;;;;;;;;223.0;0;;0;;0;;0;;0;;0;;0;;0;4082,09;4082,09;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;0;5;YSOLI           ~ SOLIDAGO~ FLORISOL-F~ FRESCAS~ F;LORES CORTADAS PARA RAMOS O AD;ORNOS~;;;;;;0;44;0;6;2,727273;6031000.0;0;565;99.0;00000004.000000 PIEZAS;;;;;;;6031999;144,11;0;223;0;19;178.0;+;27,38;0;;;0;0;;;0;0;;;0;2012;01
151;39;15;21012012;13104;35472;218;;;0;0.0;0;0;0;0;;0;0;0;0.0;218;218;1;;242;906;F;;0;0;;;;;;;4;6012012;6012012;CSAV;997;90160000.0;7;76530;;;0;QNAAN3L00;3012012;CSAV;90160000;7;ALADI;71;0;0;32;0;0;13;0;5;3;12335;2;0;3380;1;2;246,7;4752;15961,7;999.0;0; ; ;76;1;;;;;;;;;;;;;;;223.0;0;;0;;0;;0;;0;;0;;0;;0;3032,72;3032,72;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;0;1;YCRIS           ~ CRISANTEMO~ FLORISOL-F~ FRESCOS~;FLORES CORTADOS PARA RAMOS O;ADORNOS~;;;;;;0;1595;0;6;2,708464;6031000.0;0;565;99.0;00000145.000000 PIEZAS;96.0;162-2012;;;;;6031400;5590,15;0;223;0;19;178.0;+;1062,13;0;;;0;0;;;0;0;;;0;2012;01
151;39;15;21012012;13104;35472;218;;;0;0.0;0;0;0;0;;0;0;0;0.0;218;218;1;;242;906;F;;0;0;;;;;;;4;6012012;6012012;CSAV;997;90160000.0;7;76530;;;0;QNAAN3L00;3012012;CSAV;90160000;7;ALADI;71;0;0;32;0;0;13;0;5;3;12335;2;0;3380;1;2;246,7;4752;15961,7;999.0;0; ; ;76;1;;;;;;;;;;;;;;;223.0;0;;0;;0;;0;;0;;0;;0;;0;3032,72;3032,72;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;0;2;YGYP            ~ GYPSOPHILA~ PYGANFLOR-F~ FRESCAS;~ FLORES CORTADOS PARA RAMOS O;ADORNOS~;;;;;;0;770;0;6;2,727273;6031000.0;0;565;99.0;00000070.000000 PIEZAS;;;;;;;6031970;2717,44;0;223;0;19;178.0;+;516,31;0;;;0;0;;;0;0;;;0;2012;01
151;39;15;21012012;13104;35472;218;;;0;0.0;0;0;0;0;;0;0;0;0.0;218;218;1;;242;906;F;;0;0;;;;;;;4;6012012;6012012;CSAV;997;90160000.0;7;76530;;;0;QNAAN3L00;3012012;CSAV;90160000;7;ALADI;71;0;0;32;0;0;13;0;5;3;12335;2;0;3380;1;2;246,7;4752;15961,7;999.0;0; ; ;76;1;;;;;;;;;;;;;;;223.0;0;;0;;0;;0;;0;;0;;0;;0;3032,72;3032,72;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;0;3;YROS            ~ ROSAS~ DENMAR-F~ FRESCOS~ FLORES;CORTADOS PARA RAMOS O ADORNOS;~;;;;;;0;1991;0;6;2,970869;6031000.0;0;565;99.0;00000181.000000 PIEZAS;;;;;;;6031100;7654,11;0;223;0;19;178.0;+;1454,28;0;;;0;0;;;0;0;;;0;2012;01
151;39;15;1022012;13108;33042;218;;;0;0.0;0;0;0;0;0.0;0;0;0;0.0;218;218;1;;242;906;F;;0;0;;;;;;;4;17012012;17012012;CSAV;997;90160000.0;7;77102;;;0;QNAAN8B00;11012012;CSAV;90160000;7;ALADI;71;0;0;32;0;0;13;0;5;5;22672,28;2;0;3380;1;0;114;5508;26166,28;999.0;0; ; ;76;1;;;;;;;;;;;;;;;223.0;0;;0;;0;;0;;0;;0;;0;;0;4971,59;4971,59;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;0;1;Y-ROSA          ~ ROSAS~ DENMAR-F~ FRESCAS~ FLORES;CORTADAS PARA RAMOS O ADORNOS~;;;;;;;0;3677,58;0;6;4,490448;6031000.0;0;565;99.0;00000294.000000 PIEZAS;96.0;480-2012;;;;;6031100;19058,93;0;223;0;19;178.0;+;3621,2;0;;;0;0;;;0;0;;;0;2012;01
151;39;15;1022012;13108;33042;218;;;0;0.0;0;0;0;0;0.0;0;0;0;0.0;218;218;1;;242;906;F;;0;0;;;;;;;4;17012012;17012012;CSAV;997;90160000.0;7;77102;;;0;QNAAN8B00;11012012;CSAV;90160000;7;ALADI;71;0;0;32;0;0;13;0;5;5;22672,28;2;0;3380;1;0;114;5508;26166,28;999.0;0; ; ;76;1;;;;;;;;;;;;;;;223.0;0;;0;;0;;0;;0;;0;;0;;0;4971,59;4971,59;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;0;2;Y-CRIS          ~ CRISANTEMO~ FLORISOL-F~ FRESCAS~;FLORES CORTADAS PARA RAMOS O;ADORNOS~;;;;;;0;904,36;0;6;4,490446;6031000.0;0;565;99.0;00000099.000000 PIEZAS;;;;;;;6031400;4686,81;0;223;0;19;178.0;+;890,49;0;;;0;0;;;0;0;;;0;2012;01
