2092014;6106493;39;200;3;3840;100;6104;0;3188;0;0;906;SAN ANTONIO;6;F;1;622;ROTTERDAM;515;HOLANDA;MAERSK SEALAND;225;96662540;6;MAERSK SEALAND;96662540;6;0;515;;22052015;142;3;5;1;42011,48;0;0;42011,48;0;0;0;4;1;22785;42011,48;0; ;0; ;0;0;0;NO; ;;0;;0;;2;SIN-CODIGO      ~ BULBOS DE FLORES~ MANTOS VERDES-F~ BULBOS DE FLORES;DELILIUM FALANGHINA~ 431 CAJAC;ARTON (22) ~ 20.7KN;;;;;6011011;10;64650;,262568;16975;99;0000064650;BULBOS;64;b;VARIACION P/U;0;;;9352,7                                                                                                                                                                                                                                                            ;02092014;1;76;1;                                                     ;02092014;1;564595995;25082014;ARCHIMIDIS;113162                      
2092014;6106493;39;200;3;3840;100;6104;0;3188;0;0;906;SAN ANTONIO;6;F;1;622;ROTTERDAM;515;HOLANDA;MAERSK SEALAND;225;96662540;6;MAERSK SEALAND;96662540;6;0;515;;22052015;142;3;5;1;42011,48;0;0;42011,48;0;0;0;4;1;22785;42011,48;0; ;0; ;0;0;0;NO; ;;0;;0;;3;SIN-CODIGO      ~ BULBOS DE FLORES~ MANTOS VERDES-F~ BULBOS DE FLORES;DELILIUM FALANGHINA~ 102 CAJAC;ARTON (22) ~ 20.7KN;;;;;6011011;10;12750;,299248;3815,41;99;0000012750;BULBOS;64;b;VARIACION P/U;0;;;2213,4                                                                                                                                                                                                                                                          ;02092014;1;76;1;                                                     ;02092014;1;564595995;25082014;ARCHIMIDIS;113162                      
2092014;6106493;39;200;3;3840;100;6104;0;3188;0;0;906;SAN ANTONIO;6;F;1;622;ROTTERDAM;515;HOLANDA;MAERSK SEALAND;225;96662540;6;MAERSK SEALAND;96662540;6;0;515;;22052015;142;3;5;1;42011,48;0;0;42011,48;0;0;0;4;1;22785;42011,48;0; ;0; ;0;0;0;NO; ;;0;;0;;4;SIN-CODIGO      ~ BULBOS DE FLORES~ MANTOS VERDES-F~ BULBOS DE FLORES;DELILIUM FALANGHINA~ 100 CAJAC;ARTON (22) ~ 20.7KN;;;;;6011011;10;10000;,314685;3146,85;99;0000010000;BULBOS;64;b;VARIACION P/U;0;;;2170                                                                                                                                                                                                                                                            ;02092014;1;76;1;                                                     ;02092014;1;564595995;25082014;ARCHIMIDIS;113162                      
2092014;6107016;39;200;3;3840;100;6104;0;3188;0;0;906;SAN ANTONIO;6;F;1;622;ROTTERDAM;515;HOLANDA;MAERSK SEALAND;225;96662540;6;MAERSK SEALAND;96662540;6;0;515;;22052015;142;3;5;1;40653,78;0;0;40653,78;0;0;0;5;1;22785;40653,78;0; ;0; ;0;0;0;NO; ;;0;;0;;1;SIN-CODIGO      ~ BULBOS DE FLORES~ MANTOS VERDES-F~ BULBOS DE FLORES;DELILIUM FALANGHINA~ 210 CAJAC;ARTON (22) ~ 20.7KN;;;;;6011011;10;26250;,299248;7855,26;68;800;AAPCCH-UE;61;;868349118;99;0000026250;BULBOS;4557                                                                                                                                                                                                                                                    ;02092014;1;76;1;                                                     ;02092014;1;868349118;25082014;ARCHIMIDIS;113162                      
2092014;6107016;39;200;3;3840;100;6104;0;3188;0;0;906;SAN ANTONIO;6;F;1;622;ROTTERDAM;515;HOLANDA;MAERSK SEALAND;225;96662540;6;MAERSK SEALAND;96662540;6;0;515;;22052015;142;3;5;1;40653,78;0;0;40653,78;0;0;0;5;1;22785;40653,78;0; ;0; ;0;0;0;NO; ;;0;;0;;2;SIN-CODIGO      ~ BULBOS DE FLORES~ MANTOS VERDES-F~ BULBOS DE FLORES;DELILIUM WILLEKE ALBERTI~ 169;CAJACARTON (22) ~ 20.7KN;;;;;6011011;10;33800;,216717;7325,04;99;0000033800;BULBOS;64;b;VARIACION P/U;0;;;3667,3                                                                                                                                                                                                                                                      ;02092014;1;76;1;                                                     ;02092014;1;868349118;25082014;ARCHIMIDIS;113162                      
2092014;6107016;39;200;3;3840;100;6104;0;3188;0;0;906;SAN ANTONIO;6;F;1;622;ROTTERDAM;515;HOLANDA;MAERSK SEALAND;225;96662540;6;MAERSK SEALAND;96662540;6;0;515;;22052015;142;3;5;1;40653,78;0;0;40653,78;0;0;0;5;1;22785;40653,78;0; ;0; ;0;0;0;NO; ;;0;;0;;3;SIN-CODIGO      ~ BULBOS DE FLORES~ MANTOS VERDES-F~ BULBOS DE FLORES;DELILIUM WILLEKE ALBERTI~ 243;CAJACARTON (22) ~ 20.7KN;;;;;6011011;10;36450;,262568;9570,59;99;0000036450;BULBOS;64;b;VARIACION P/U;0;;;5273,1                                                                                                                                                                                                                                                      ;02092014;1;76;1;                                                     ;02092014;1;868349118;25082014;ARCHIMIDIS;113162                      
2092014;6107016;39;200;3;3840;100;6104;0;3188;0;0;906;SAN ANTONIO;6;F;1;622;ROTTERDAM;515;HOLANDA;MAERSK SEALAND;225;96662540;6;MAERSK SEALAND;96662540;6;0;515;;22052015;142;3;5;1;40653,78;0;0;40653,78;0;0;0;5;1;22785;40653,78;0; ;0; ;0;0;0;NO; ;;0;;0;;4;SIN-CODIGO      ~ BULBOS DE FLORES~ MANTOS VERDES-F~ BULBOS DE FLORES;DELILIUM WILLEKE ALBERTI~ 410;CAJACARTON (22) ~ 20.7KN;;;;;6011011;10;51250;,299248;15336,46;99;0000051250;BULBOS;64;b;VARIACION P/U;0;;;8897                                                                                                                                                                                                                                                       ;02092014;1;76;1;                                                     ;02092014;1;868349118;25082014;ARCHIMIDIS;113162                      
2092014;6107016;39;200;3;3840;100;6104;0;3188;0;0;906;SAN ANTONIO;6;F;1;622;ROTTERDAM;515;HOLANDA;MAERSK SEALAND;225;96662540;6;MAERSK SEALAND;96662540;6;0;515;;22052015;142;3;5;1;40653,78;0;0;40653,78;0;0;0;5;1;22785;40653,78;0; ;0; ;0;0;0;NO; ;;0;;0;;5;SIN-CODIGO      ~ BULBOS DE FLORES~ MANTOS VERDES-F~ BULBOS DE FLORES;DELILIUM WILLEKE ALBERTI~ 18 C;AJACARTON (22) ~ 20.7KN;;;;;6011011;10;1800;,314683;566,43;99;0000001800;BULBOS;64;b;VARIACION P/U;0;;;390,6                                                                                                                                                                                                                                                         ;02092014;1;76;1;                                                     ;02092014;1;868349118;25082014;ARCHIMIDIS;113162                      
2092014;6107212;55;200;3;3724;100;8309;0;3188;0;0;909;LIRQUEN;8;F;1;499;HAIPONG;325;VIETNAM;NYK LINE;331;80992000;3;NYK LINE;80992000;3;0;515;;4102014;142;1;5;1;33529,23;0;0;33529,23;0;0;0;1;1;18580;33529,23;4531; ;0; ;0;0;0;NO; ;;0;;0;;1;SIN-CODIGO      ~ BULBOS DE FLORES~ SUN HARVEST-F~ DE LILLIUM~ EN RESP;OSO VEGETATIVO;;;;;;6011011;10;149150;,224802;33529,23;99;0000149150;UNIDAD;61;;7140716520;68;829;TLCCH-VIET;18580                                                                                                                                                                                                                                                                                                ;02092014;1;76;1;                                                     ;02092014;1;NYKS7140716520;23082014;NYK LYRA;113916                   
2092014;6108885;34;200;3;4095;70,9;10304;3;3279;29,1;10304;905;VALPARAISO;10;F;1;622;ROTTERDAM;515;HOLANDA;HAPAG LLOYD,  HAMBURGO;214;80992000;3;HAMBURG SUD COLUMBUS LINE CHILE;59059900;K;0;515;;30052015;142;3;5;1;46532,29;0;0;46532,29;0;0;0;1;1;21000;46532,29;0; ;0; ;0;0;0;NO; ;;0;;0;;1;SIN_CODIGO      ~BULBOS DE FLORES~;SOUTHERN BULBS-F~;DE LILIUM~;EN REPOSO VEGETATIVO;;;;6011011;10;277900;,167443;46532,29;61;;4SCLES6266;68;800;AAPCCH-UE;99;277900;UNIDADES;21000                                                                                                                                                                                                                                                     ;02092014;1;76;1;                                                     ;02092014;1;SUDUB46013150043;25082014;LIVERPOOL EXPRESS;114013        
