4032014;5812130;48;200;3;4492;100;13302;0;3188;0;0;992;AEROP.A.M.BENITEZ;13;R;4;621;AMSTERDAM;515;HOLANDA;DELTA AIR LINES.;225;59072510;2;NDO CHILE S.A.;76144377;1;0;515;;18112014;142;3;2;1;4002,32;0;1809,67;2192,65;0;0;0;1;75;320;2192,65;1809,67; ;0; ;0;0;0;NO; ;;0;;0;;1;SIN-CODIGO      ~ FLORES DE HORTENSIAS~ NOVAZEL-F~ VAR. DE CORTE HYDRA;NGEA SP~ FRESCAS;;;;;;6031999;6;210;10,44119;2192,65;68;800;AAPCCH-UE;0;;;0;;;320                                                                                                                                                                                                                                                                                                ;04032014;1;22;75;ROT.                                                ;04032014;1;074-24222085;21022014;DELTA AIR LINES.;445344             
7032014;5819169;48;200;3;4492;100;13302;0;3188;0;0;992;AEROP.A.M.BENITEZ;8;R;4;621;AMSTERDAM;515;HOLANDA;K.L.M.;515;91354000;K;NDO CHILE S.A.;76144377;1;0;515;;28032014;142;3;2;1;10046,47;0;1351,42;8695,05;0;0;0;1;49;380;8695,05;1351,42; ;0; ;0;0;0;NO; ;;0;;0;;1;SIN-CODIGO      ~ FLORES DE GENTIANA~ NOVAZEL~ VAR. ASHIRO GENTIAN~ FR;ESCAS;;;;;;6031999;6;300;28,9835;8695,05;68;800;AAPCCH-UE;0;;;0;;;380                                                                                                                                                                                                                                                                                                                      ;07032014;1;22;49;ROT.                                                ;07032014;1;074-24222096;26022014;K.L.M.;445346                       
10032014;5810783;55;200;3;6471;100;5503;0;3188;0;0;908;SAN VICENTE;14;F;1;622;ROTTERDAM;515;HOLANDA;HAMBURG  SUD;563;59059900;K;HAMBURG  SUD;59059900;K;0;515;;25112014;142;1;5;1;177814,28;0;0;177814,28;0;0;0;1;1;19475;177814,28;5290,98; ;0; ;0;1;2;SI; ;;0;;0;;1;SIN-CODIGO      ~ BULBOS DE FLORES~ SONE-F~ DE LILIUM~ EN REPOSO VEGET;ATIVO;;;;;;6011011;10;1356503;,131083;177814,28;61;;4SCLES1239;68;800;AAPCCH-UE;99;0001356506;UNIDAD;19475                                                                                                                                                                                                                                                                                   ;10032014;1;76;1;                                                     ;10032014;1;SUDUB47012581033;28022014;CAP MORETON;107363              
11032014;5829493;48;200;3;1300;100;13107;0;3188;0;0;992;AEROP.A.M.BENITEZ;5;F;4;251;OTROS PUERTOS DE PER;219;PERU;LAN CHILE;997;89862200;2;ACOSTA Y AGUAYO LTDA;1;9;0;219;;26112014;13;3;2;1;24404;0;5818;18586;0;0;0;1;489;3491,46;18586;5818; ;0; ;0;0;0;NO; ;;0;;0;;1;SIN-CODIGO      ~ PLANTAS PARA SIEMBRA~ HORTIFRUT-F~ PLANTAS DE ARANDA;NOS~ 489 CAJACARTON (22)~ 6.03;KN;;;;;6022041;10;2948,67;6,303181;18586;68;;SIN ACUERDO;99;00013140;UNIDADES;64;a;VARIACION P/U;3491,46                                                                                                                                                                                                                                                   ;11032014;1;22;489;ROTULADO                                           ;11032014;1;605-00076344;01032014;LAN CHILE;447938                    
12032014;5805865;55;200;3;1589;100;13301;0;3188;0;0;908;SAN VICENTE;6;R;1;451;KAOHSIUNG;330;TAIWAN (FORMOSA;CHINA SHIPPING;336;91256000;7;CHINA SHIPPING CONTAINER LINES;91256000;7;0;330;;30062014;13;1;5;1;29880;0;0;29880;0;0;0;1;1;8400;29880;0; ;0; ;0;0;0;NO; ;;0;;0;;1;SIN-CODIGO      ~ MUSGOS~ MAR ANDINO-F~ SPHAGNUM MOSS~ PARA ARREGLOS;FLORALES~;;;;;;6049000;6;8300;3,6;29880;61;;401WCLSVE003;99;0000008300;KN;68;;SIN ACUERDO;8400                                                                                                                                                                                                                                                                                         ;12032014;1;74;1;                                                     ;12032014;1;SVEKHH000360;03032014;MAULLIN;107533                      
12032014;5827801;48;200;3;4492;100;13302;0;3188;0;0;992;AEROP.A.M.BENITEZ;13;R;4;621;AMSTERDAM;515;HOLANDA;DELTA AIR LINES.;225;59072510;2;NDO CHILE S.A.;76144377;1;0;515;;28112014;142;3;2;1;7340,08;0;1239,55;6100,53;0;0;0;2;66;389;6100,53;1239,55; ;0; ;0;0;0;NO; ;;0;;0;;1;SIN-CODIGO      ~ FLORES DE HORTENSIAS~ NOVAZEL-F~ VAR. DE CORTE HYDRA;NGEA SP~ FRESCAS;;;;;;6031999;6;51;19,824902;1011,07;68;800;AAPCCH-UE;0;;;0;;;81                                                                                                                                                                                                                                                                                                 ;12032014;1;22;66;ROT.                                                ;12032014;1;074-24222100;03032014;DELTA AIR LINES.;448464             
12032014;5827801;48;200;3;4492;100;13302;0;3188;0;0;992;AEROP.A.M.BENITEZ;13;R;4;621;AMSTERDAM;515;HOLANDA;DELTA AIR LINES.;225;59072510;2;NDO CHILE S.A.;76144377;1;0;515;;28112014;142;3;2;1;7340,08;0;1239,55;6100,53;0;0;0;2;66;389;6100,53;1239,55; ;0; ;0;0;0;NO; ;;0;;0;;2;SIN-CODIGO      ~ FLORES DE GENTIANA~ NOVAZEL~ VAR. ASHIRO GENTIAN~ FR;ESCAS;;;;;;6031999;6;262;19,42542;5089,46;68;800;AAPCCH-UE;0;;;0;;;308                                                                                                                                                                                                                                                                                                           ;12032014;1;22;66;ROT.                                                ;12032014;1;074-24222100;03032014;DELTA AIR LINES.;448464             
12032014;5832904;48;200;3;4492;100;13302;0;3188;0;0;992;AEROP.A.M.BENITEZ;13;R;4;621;AMSTERDAM;515;HOLANDA;K.L.M.;515;91354000;K;NDO CHILE S.A.;76144377;1;0;515;;4042014;142;3;2;1;4490,16;0;1151,99;3338,17;0;0;0;1;27;230;3338,17;1151,99; ;0; ;0;0;0;NO; ;;0;;0;;1;SIN-CODIGO      ~ FLORES DE GENTIANA~ NOVAZEL~ VAR. ASHIRO GENTIAN~ FR;ESCAS;;;;;;6031999;6;180;18,545389;3338,17;99;0000006570;UNIDAD;68;800;AAPCCH-UE;0;;;230                                                                                                                                                                                                                                                                                                   ;12032014;1;22;27;ROT.                                                ;12032014;1;074-24222111;05032014;K.L.M.;448466                       
14032014;5810790;55;200;3;1976;100;14106;0;3188;0;0;908;SAN VICENTE;14;F;1;622;ROTTERDAM;515;HOLANDA;HAMBURG  SUD;563;59059900;K;HAMBURG  SUD;59059900;K;0;515;;25112014;142;1;5;1;281,92;0;0;281,92;0;0;0;1;1;361;281,92;137,99; ;0; ;0;2;2;SI; ;;0;;0;;1;SIN-CODIGO      ~ BULBOS DE FLORES~ VALDIVIA LILIES-F~ DE LILIUM~ EN R;EPOSO VEGETATIVO;;;;;;6011011;10;29355;,009604;281,92;61;;4SCLES1239;68;800;AAPCCH-UE;99;0000029355;UNIDAD;361                                                                                                                                                                                                                                                                                          ;14032014;1;76;1;                                                     ;14032014;1;SUDUB47012581035;28022014;CAP MORETON;107363              
14032014;5826234;55;200;3;1976;100;14106;0;3188;0;0;908;SAN VICENTE;14;F;1;622;ROTTERDAM;515;HOLANDA;HAMBURG  SUD;563;59059900;K;HAMBURG  SUD;59059900;K;0;515;;2122014;142;1;5;1;1439,39;0;0;1439,39;0;0;0;1;1;1881;1439,39;593,07; ;0; ;0;2;2;SI; ;;0;;0;;1;SIN-CODIGO      ~ BULBOS DE FLORES~ VALDIVIA LILIES-F~ DE LILIUM~ EN R;EPOSO VEGETATIVO;;;;;;6011011;10;145837;,00987;1439,39;61;;4SCLES1518;68;800;AAPCCH-UE;99;0000145837;UNIDAD;1881                                                                                                                                                                                                                                                                                    ;14032014;1;76;1;                                                     ;14032014;1;SUDUB47012590035;07032014;CAP STEWART;107558              
