1062016;7095806;55;200;3;770;100;13129;0;3188;0;0;909;LIRQUEN;10;R;1;422;BUSAN CY (PUSAN);333;COREA DEL SUR;HYUNDAI MERCHANT MARINE CO,LTD;333;81156500;8;HYUNDAI MERCHANT MARINE CO,LTD;81156500;8;0;333;;10052017;13;1;2;69;27170;0;550;26620;0;0;0;1;1;7250;26620;550; ;0; ;0;0;0;NO; ;;0;;0;;1;MUSGO;SOC.COM.INV.LONQUEN-F;SECO;PARA RAMOS O ADORNOS;EN BOLSAS DE 5 KILOS;;;6049000;6;7150;3,723077;26620;68;810;TLCCH-COR;33;;0000000001.40;64;a;VARIACION P/U;7250                                                                                                                                                                                                                                                                 ;01062016;1;74;1;                                                     ;01062016;1;HDMUCLBU1596313;09052016;CMA CGM TIGRIS;138222            
1062016;7131397;48;200;3;2534;100;7301;0;3188;0;0;992;AEROP.A.M.BENITEZ;13;R;4;141;MIAMI;225;U.S.A.;ATLAS AIR;225;96566940;K;NEWPORT CARGO S.A.;76320340;9;0;225;;22022017;13;3;9;1;5799,05;0;1119,05;4680;0;0;270;3;93;334;4680;1119,05; ;0; ;5799,05;0;0;NO; ;;0;;0;;1;RANUNCULUS FRESCOS;C.PAULINOIS-F;5/6;AMANDINE, FRESCOS PARA ADORNOS;;;;6031999;6;80;18;1440;99;0000004800;VARAS;68;;SIN ACUERDO;0;;;94                                                                                                                                                                                                                                                                                                                          ;01062016;1;22;93;ROTULADO                                            ;01062016;1;369-68263193;28052016;ATLAS AIR;587056                    
1062016;7131397;48;200;3;2534;100;7301;0;3188;0;0;992;AEROP.A.M.BENITEZ;13;R;4;141;MIAMI;225;U.S.A.;ATLAS AIR;225;96566940;K;NEWPORT CARGO S.A.;76320340;9;0;225;;22022017;13;3;9;1;5799,05;0;1119,05;4680;0;0;270;3;93;334;4680;1119,05; ;0; ;5799,05;0;0;NO; ;;0;;0;;2;ANEMONAS FERSCAS;CHILFRESH-F;42 CMS;IRIS SP;;;;6031999;6;56;33,482143;1875;99;0000006250;VARAS;0;;;0;;;60                                                                                                                                                                                                                                                                                                                                                       ;01062016;1;22;93;ROTULADO                                            ;01062016;1;369-68263193;28052016;ATLAS AIR;587056                    
1062016;7131397;48;200;3;2534;100;7301;0;3188;0;0;992;AEROP.A.M.BENITEZ;13;R;4;141;MIAMI;225;U.S.A.;ATLAS AIR;225;96566940;K;NEWPORT CARGO S.A.;76320340;9;0;225;;22022017;13;3;9;1;5799,05;0;1119,05;4680;0;0;270;3;93;334;4680;1119,05; ;0; ;5799,05;0;0;NO; ;;0;;0;;3;RUSCUS;CHILFRESH-F;60-90CM;.;;;;6031999;6;150;9,1;1365;99;0000000910;VARAS;0;;;0;;;180                                                                                                                                                                                                                                                                                                                                                                          ;01062016;1;22;93;ROTULADO                                            ;01062016;1;369-68263193;28052016;ATLAS AIR;587056                    
2062016;7114597;48;200;3;5900;100;7301;0;3188;0;0;992;AEROP.A.M.BENITEZ;7;R;4;210;CIUDAD DE MEXICO;216;MEXICO;LAN AIRLINES;997;89862200;2;LATAM AIRLINES GROUP;89862200;2;0;216;;16052016;13;1;5;32;28950;0;0;28950;0;0;0;1;2;770;28950;0; ;0; ;0;0;0;NO; ;;0;;0;;1;PLANTA;SOC BESTPLANT-F;VARIEDAD BILOXI;PARA CULTIVO DE ARANDANOS, MAT;ERIAL VEGETAL NO TRANSGENICO. ;DESARROLLADO IN-VITRO, SON 400;0 FRASCO,CON 25 PLANTAS CADA U;6022041;10;100000;,2895;28950;99;0000100000;UNIDADES;68;;SIN ACUERDO;0;;;770                                                                                                                                                                                                                      ;02062016;1;80;2;ROT.                                                 ;02062016;1;045-83282113;17052016;LAN AIRLINES;583772                 
2062016;7129519;48;200;3;2704;100;7301;0;3188;0;0;992;AEROP.A.M.BENITEZ;6;R;4;563;BARCELONA;517;ESPANA;LAN CHILE;997;89862200;2;CHILEXPRESS S.A.;96756430;3;0;517;5.0;25092016;142;1;2;1;56815,56;0;10613,12;46202,44;0;0;120;1;6;4188;46202,44;10613,12; ;0; ;0;0;0;NO; ;;0;;0;;1;PLANTAS DE OLIVO;AGROMILLORA-F;ARBEQUINA;VIVAS,CON SUS RAICES;;;;6022059;10;302400;,152786;46202,44;99;0000302400;UNIDAD;68;800;AAPCCH-UE;64;b;VARIACION P/U;4188                                                                                                                                                                                                                                                                                       ;02062016;1;80;6;ROT                                                  ;02062016;1;075-40732576;28052016;IBERIA;587028                       
3062016;7117446;33;200;3;126;100;13404;0;3188;0;0;965;LOS LIBERTADORES;7;F;7;291;ARAUCARIA;220;BRASIL;TR. LOS MORROS;997;78775410;4;TR. LOS MORROS;78775410;4;0;220;;13022017;13;1;11;1;136780,8;0;9984;126796,8;0;0;270;1;26;17746,56;126796,8;9984; ;0; ;0;0;0;NO; ;;0;;0;;1;PLANTAS DE FRUTILLAS VIVAS FRESCAS;LLAHUEN-F;SANANDREAS;(FRESA);;;;6029023;6;16498,56;7,685325;126796,8;68;500;ACEM;0;;;0;;;17746,56                                                                                                                                                                                                                                                                                                                      ;03062016;1;80;26;LLAHUEN                                             ;03062016;1;CL.910.002232;19052016;;                                  
3062016;7117447;33;200;3;126;100;13404;0;3188;0;0;965;LOS LIBERTADORES;7;F;7;291;ARAUCARIA;220;BRASIL;TR. LOS MORROS;997;78775410;4;TR. LOS MORROS;78775410;4;0;220;;13022017;13;1;11;1;136780,8;0;9984;126796,8;0;0;270;1;26;17921,28;126796,8;9984; ;0; ;0;0;0;NO; ;;0;;0;;1;PLANTAS DE FRUTILLAS VIVAS FRESCAS;LLAHUEN-F;SANANDREAS;(FRESA);;;;6029023;6;16673,28;7,60479;126796,8;68;500;ACEM;0;;;0;;;17921,28                                                                                                                                                                                                                                                                                                                       ;03062016;1;80;26;LLAHUEN                                             ;03062016;1;CL.910.002233;19052016;;                                  
3062016;7122301;48;200;3;7827;100;13503;0;3188;0;0;992;AEROP.A.M.BENITEZ;13;R;4;621;AMSTERDAM;515;HOLANDA;LAN CHILE;997;89862200;2;LAN CHILE;89862200;2;0;515;5.0;1062016;142;1;2;1;18652,93;0;1057,2;17595,73;0;0;7;2;6;235;17595,73;1057,2; ;0; ;0;0;0;NO; ;;0;;0;;1;PLANTAS VIVAS;AGRICOLA CASASSUS-F;ARAUCARIA ARAUCANA;PARA PLANTACION;;;;6022010;6;124,3274;78,44007;9752,25;99;0000007925;UNIDAD;68;800;AAPCCH-UE;64;;VARIACION P/U LETRA A;135                                                                                                                                                                                                                                                                                    ;03062016;1;22;6;ROTULADO                                             ;03062016;1;045-70283415;23052016;LAN CHILE;584173                    
3062016;7122301;48;200;3;7827;100;13503;0;3188;0;0;992;AEROP.A.M.BENITEZ;13;R;4;621;AMSTERDAM;515;HOLANDA;LAN CHILE;997;89862200;2;LAN CHILE;89862200;2;0;515;5.0;1062016;142;1;2;1;18652,93;0;1057,2;17595,73;0;0;7;2;6;235;17595,73;1057,2; ;0; ;0;0;0;NO; ;;0;;0;;2;PLANTAS VIVAS;AGRICOLA CASASSUS-F;ARAUCARIA ARAUCANA;PARA PLANTACION;;;;6022010;6;90,277;86,882373;7843,48;99;0000007075;UNIDAD;68;800;AAPCCH-UE;64;;VARIACION P/U LETRA A;100                                                                                                                                                                                                                                                                                     ;03062016;1;22;6;ROTULADO                                             ;03062016;1;045-70283415;23052016;LAN CHILE;584173                    
3062016;7132242;48;200;3;7827;100;13503;0;3188;0;0;992;AEROP.A.M.BENITEZ;13;R;4;621;AMSTERDAM;515;HOLANDA;LAN CHILE;997;89862200;2;LAN CHILE;89862200;2;0;515;5.0;3062016;142;1;2;1;20536,19;0;975,8;19560,39;0;0;7;4;6;208;19560,39;975,8; ;0; ;0;0;0;NO; ;;0;;0;;1;PLANTAS VIVAS;AGRICOLA CASASSUS-F;ARAUCARIA ARAUCANA;PARA PLANTACION;;;;6022010;6;127,72;89,413013;11419,83;99;0000010300;UNIDAD;68;800;AAPCCH-UE;64;;VARIACION P/U LETRA A;133,86                                                                                                                                                                                                                                                                                   ;03062016;1;22;6;ROTULADO                                             ;03062016;1;045-70283426;28052016;LAN CHILE;584733                    
3062016;7132242;48;200;3;7827;100;13503;0;3188;0;0;992;AEROP.A.M.BENITEZ;13;R;4;621;AMSTERDAM;515;HOLANDA;LAN CHILE;997;89862200;2;LAN CHILE;89862200;2;0;515;5.0;3062016;142;1;2;1;20536,19;0;975,8;19560,39;0;0;7;4;6;208;19560,39;975,8; ;0; ;0;0;0;NO; ;;0;;0;;2;PLANTAS VIVAS;AGRICOLA CASASSUS-F;ARAUCARIA ARAUCANA;PARA PLANTACION;;;;6022010;6;36,963;122,525228;4528,9;99;0000004440;UNIDAD;68;800;AAPCCH-UE;64;;VARIACION P/U LETRA A;40,4                                                                                                                                                                                                                                                                                      ;03062016;1;22;6;ROTULADO                                             ;03062016;1;045-70283426;28052016;LAN CHILE;584733                    
3062016;7132242;48;200;3;7827;100;13503;0;3188;0;0;992;AEROP.A.M.BENITEZ;13;R;4;621;AMSTERDAM;515;HOLANDA;LAN CHILE;997;89862200;2;LAN CHILE;89862200;2;0;515;5.0;3062016;142;1;2;1;20536,19;0;975,8;19560,39;0;0;7;4;6;208;19560,39;975,8; ;0; ;0;0;0;NO; ;;0;;0;;3;PLANTAS VIVAS;AGRICOLA CASASSUS-F;ARAUCARIA ARAUCANA;PARA PLANTACION;;;;6022010;6;13,53;153,23799;2073,31;99;0000002200;UNIDAD;68;800;AAPCCH-UE;64;;VARIACION P/U LETRA A;15,24                                                                                                                                                                                                                                                                                      ;03062016;1;22;6;ROTULADO                                             ;03062016;1;045-70283426;28052016;LAN CHILE;584733                    
3062016;7132242;48;200;3;7827;100;13503;0;3188;0;0;992;AEROP.A.M.BENITEZ;13;R;4;621;AMSTERDAM;515;HOLANDA;LAN CHILE;997;89862200;2;LAN CHILE;89862200;2;0;515;5.0;3062016;142;1;2;1;20536,19;0;975,8;19560,39;0;0;7;4;6;208;19560,39;975,8; ;0; ;0;0;0;NO; ;;0;;0;;4;PLANTAS VIVAS;AGRICOLA CASASSUS-F;ARAUCARIA ARAUCANA;PARA PLANTACION;;;;6022010;6;17,75;86,667606;1538,35;99;0000001250;UNIDAD;68;800;AAPCCH-UE;64;;VARIACION P/U LETRA A;18,5                                                                                                                                                                                                                                                                                       ;03062016;1;22;6;ROTULADO                                             ;03062016;1;045-70283426;28052016;LAN CHILE;584733                    
3062016;7133766;48;200;3;681;100;5503;0;3188;0;0;992;AEROP.A.M.BENITEZ;5;R;4;621;AMSTERDAM;515;HOLANDA;KLM COMPANIA REAL HOLANDESA DE AVIACION;515;91354000;K;KLM CONPANIA REAL HOLANDESA DE;91354000;K;0;515;5.0;29062016;142;1;2;1;5400,72;0;990;4410,72;0;0;30;1;21;163;4410,72;990; ;0; ;0;0;0;NO; ;;0;;0;;1;ZANTEDESCHIA;IN VITRO LAB-F;ZANTEDESCHIA;PARA USOEN LABORATORIO;;;;6029029;6;143;30,844196;4410,72;99;0000030004;UNIDAD;68;0000000800;2200201939;0;0000000000;;163                                                                                                                                                                                                                                                        ;03062016;1;22;21;IN VITRO LAB                                        ;03062016;1;31126480;30052016;KLM COMPANIA REAL HO;DL146              
