1072016;7105173;39;200;3;126;100;13404;0;3188;0;0;906;SAN ANTONIO;8;F;1;217;MANZANILLO;216;MEXICO;A.J. BROOM Y CIA  S.A.C.;997;91256000;7;INT, CARGO GROUP SPA;77217890;5;0;216;;11022017;13;1;2;1;1026360;0;57210;969150;0;0;270;1;10;136275,6;969150;57210; ;0; ;0;0;0;NO; ;;0;;0;;1;PLANTAS DE FRUTILLAS VIVAS FRESCAS;LLAHUEN-F;ALBION;(FRESA);;;;6029023;6;127045,6;7,628363;969150;61;;SCLUZLO1600098;68;700;TLCCH-M;33;;0000000027.20;136275,6                                                                                                                                                                                                                                                                                    ;01072016;1;76;10;                                                    ;01072016;1;SAIMEXMF501-052016;17052016;EVER URANUS;138367            
4072016;7128838;48;200;3;126;100;13404;0;3188;0;0;992;AEROP.A.M.BENITEZ;8;R;4;272;MONTEVIDEO;223;URUGUAY;LAN CHILE;997;89862200;2;LAN CHILE;89862200;2;0;223;;21022017;13;1;5;1;937,5;0;0;937,5;0;0;270;1;9;176;937,5;652,8; ;0; ;0;0;0;NO; ;;0;;0;;1;PLANTAS DE FRUTILLAS VIVAS FRESCAS;LLAHUEN-F;SANANDREAS;(FRESA);;;;6029023;6;163,5;5,733945;937,5;68;500;ACEM;0;;;0;;;176                                                                                                                                                                                                                                                                                                                                                          ;04072016;1;28;9;LLAHUEN                                              ;04072016;1;045-83692512;27052016;LAN CHILE;584665                    
4072016;7173278;48;200;3;2704;100;7301;0;3188;0;0;992;AEROP.A.M.BENITEZ;6;R;4;251;LIMA;219;PERU;LAN CHILE;997;89862200;2;CHILEXPRESS S.A.;96756430;3;0;219;2.0;27102016;13;1;2;1;20000;0;613,8;19386,2;0;0;120;1;1;372;19386,2;613,8; ;0; ;0;0;0;NO; ;;0;;0;;1;PLANTAS DE OLIVO;AGROMILLORA-F;ARBEQUINA;VIVAS,CON SUS RAICES;;;;6022059;10;25000;,775448;19386,2;99;0000025000;UNIDAD;68;538;ACE;0;;;372                                                                                                                                                                                                                                                                                                                                   ;04072016;1;80;1;ROT                                                  ;04072016;1;045-86528024;29062016;LAN CHILE;590027                    
5072016;7169291;55;200;3;3724;100;8309;0;3188;0;0;926;CORONEL;8;F;1;813;MELBOURNE;406;AUSTRALIA;HAPAG LLOYD;563;76049840;8;HAPAG -LLOYD;76049840;8;0;515;;24072016;142;1;5;1;68565,75;0;0;68565,75;0;0;30;1;1;21000;68565,75;4963; ;0; ;0;0;0;NO; ;;0;;0;;1;BULBOS DE FLORES;SUN HARVEST-F;DE LILIUM;EN REPOSO VEGETATIVO;;;;6011011;10;235000;,291769;68565,75;68;825;TLCCH-AUS;33;;0000000004.20;99;0000235000;UNIDADES;21000                                                                                                                                                                                                                                                                                                          ;05072016;1;76;1;                                                     ;05072016;1;HLCUSCL160635893;24062016;SONCHE TRADER;139802            
7072016;7164622;39;200;3;2264;100;13404;0;3188;0;0;906;SAN ANTONIO;13;F;1;252;CALLAO;219;PERU;EVERGREEN MARINE COMPANY;330;96983220;8;GCO EXPRESS E.I.R.L.;76373929;5;0;219;;3042017;13;1;18;1;114000;0;5000;109000;0;0;210;1;1;7921;110386;1650; ;850; ;0;0;0;NO; ;;0;;0;;1;LAS DEMAS PLANTAS VIVAS;SUNNYRIDGE-F;DE ARANDANOS;PRODUCTO TRADICIONAL;;;;6022041;10;6000;18,397667;110386;33;;0000000001.60;68;538;ACE;99;1000;CAJAS;7921                                                                                                                                                                                                                                                                                                 ;07072016;1;76;1;                                                     ;07072016;1;(H)GCOSAICLL22062016;22062016;EVER LOVELY;139359          
7072016;7172157;55;200;3;7225;100;13114;0;3188;0;0;908;SAN VICENTE;8;F;1;232;BUENAVENTURA;202;COLOMBIA;HAPAG LLOYD;563;80992000;3;KUEHNE & NAGEL LTDA.;79769320;0;0;202;2.0;24092016;13;1;2;1;71870;0;2355;69515;0;0;90;1;1;12780;69515;2355; ;0; ;0;0;0;NO; ;;0;;0;;1;PLANTAS DE FRUTILLA;PLANASA-F;VARIEDAD SABRINA FRAGARIA SPP;VIVAS DE FRUTOS COMESTIBLES;;;;6022043;10;768000;,090514;69515;99;0000768000;UNIDAD;68;640;ALCCH-COL;33;;0000000002.60;12780                                                                                                                                                                                                                                                                            ;07072016;1;76;1;                                                     ;07072016;1;7020-9117-606.025;26062016;RUDOLF SCHEPPERS;140036        
7072016;7178626;48;200;3;2704;100;7301;0;3188;0;0;992;AEROP.A.M.BENITEZ;7;R;4;296;SAO PAULO;220;BRASIL;LAN CHILE;997;89862200;2;CHILEXPRESS S.A.;96756430;3;0;220;2.0;28102016;13;1;2;1;10640;0;231;10409;0;0;120;1;1;230;10409;231; ;0; ;0;0;0;NO; ;;0;;0;;1;PLANTAS DE OLIVO;AGROMILLORA-F;VARIEDAD: ARBOSANA;VIVAS, CON SUS RAICES;;;;6022059;10;40000;,260225;10409;99;0000040000;UNIDADES;68;500;ACEM;0;;;230                                                                                                                                                                                                                                                                                                                         ;07072016;1;80;1;ROT                                                  ;07072016;1;045-86528035;30062016;LAN CHILE;590133                    
11072016;7145792;48;200;3;3803;100;10304;0;3188;0;0;992;AEROP.A.M.BENITEZ;10;F;4;272;MONTEVIDEO;223;URUGUAY;LAN CHILE;997;89862200;2;KUEHNE & NAGEL (AG&CO)KG;79769320;0;0;223;;13032017;13;3;5;1;8021,5;0;0;8021,5;0;0;270;1;43;984;8021,5;1721,63; ;0; ;0;0;0;NO; ;;0;;0;;1;BULBOS DE FLORES;SOUTHERN BULBS TRADING-F;TULIPAN;N REPOSO VEGETATIVO;;;;6011012;10;35450;,226276;8021,5;99;0000035450;UNIDADES;68;500;ACEM;0;;;984                                                                                                                                                                                                                                                                                                         ;11072016;1;27;43;ROTULADAS                                           ;11072016;1;045-86841731;17062016;LAN CHILE;588628                    
11072016;7157802;48;200;3;688;100;14101;0;3188;0;0;992;AEROP.A.M.BENITEZ;4;R;4;224;CIUDAD DE PANAMA;210;PANAMA;COPA;210;59063490;5;NEWPORT CARGO S.A.;76320340;9;0;210;;12032017;13;1;11;1;1694;0;558;1136;0;0;270;1;11;96;1136;558; ;0; ;0;0;0;NO; ;;0;;0;;1;TULIPANES;A. FLOWERS-F;FRESCOS;TULIPA SP;;;;6031920;6;72;15,777778;1136;99;0000002200;VARAS;20;;MERCANCIAS MAS DE UN MODELO.;68;620;TLCCH-PAN;96                                                                                                                                                                                                                                                                                                                            ;11072016;1;22;11;ROTULADO                                            ;11072016;1;230-96316452;15062016;COPA;586664                         
11072016;7164419;39;200;3;1300;100;13107;0;3188;0;0;906;SAN ANTONIO;5;F;1;252;CALLAO;219;PERU;COSCO;336;96805690;5;COSCO CHILE S.A.;96805690;5;0;219;;7042017;13;1;2;1;115200;0;1495,14;113704,86;0;0;270;1;1;5712;113704,86;1495,14; ;0; ;0;0;0;NO; ;;0;;0;;1;PLANTAS DE ARANDANOS;HORTIFRUT CHILE S.A.-F;LAS DEMAS;;;;;6029090;6;4992;22,777416;113704,86;33;;0000000001.20;68;538;ACE;99;480;CAJAS;5712                                                                                                                                                                                                                                                                                                                               ;11072016;1;76;1;                                                     ;11072016;1;RSMSCL201603;22062016;EVER LOVELY;139359                  
