1022011;4077383;48;200;3;4492;100;6116;0;3188;0;0;992;AEROP.A.M.BENITEZ;6;R;4;141;MIAMI;225;U.S.A.;LAN CHILE;997;89862200;2;FENIX INTERNATIONAL CARGO LTDA;76026422;9;0;225;2.0;24102011;13;3;2;1;2271;0;439,4;1831,6;0;0;0;1;1;158;1831,6;439,4; ;0; ;0;0;0;NO; ;;0;;0;;1;SIN-CODIGO      ~ FLORES DE HORTENSIAS~ NOVAZEL-F~ VAR.DE CORTE HYDRAN;GEA SP~ FRESCAS;;;;;;6031990;6;117;15,654701;1831,6;68;650;TLCCH-USA;67;;VALOR DEFINITIVO;0;;;158                                                                                                                                                                                                                                                                                        ;01022011;1;80;1;ROT.                                                 ;01022011;1;045-57992432;27012011;LAN CHILE;271557                    
2022011;4028720;48;200;3;12226;100;5701;0;3188;0;0;992;AEROP.A.M.BENITEZ;5;R;4;251;LIMA;219;PERU;LAN AIRLINES S.A.;997;89862200;2;ECULINE CHILE S.A.;78556470;7;0;219;;16012011;13;1;10;1;45100;0;0;45100;0;0;0;2;65;829;45100;0; ;0; ;0;0;0;NO; ;;0;;0;;1;SIN-CODIGO      ~ PLATAS DE VIDES~ VIVERO-F~ RED GLOBE/HARMONY~ ENSAMB;LADAS~ SIN ENRAIZAR~ PARA LA S;IEMBRA.;;;;;6022000;10;21000;1;21000;99;0000021000;UNIDADES;68;538;ACE;0;;;391,5                                                                                                                                                                                                                                                                                        ;02022011;1;40;65;VIVEROS SANTA MARIA LIMITADA                        ;02022011;1;SCL00403;27122010;LAN AIRLINES S.A.;267428                
2022011;4028720;48;200;3;12226;100;5701;0;3188;0;0;992;AEROP.A.M.BENITEZ;5;R;4;251;LIMA;219;PERU;LAN AIRLINES S.A.;997;89862200;2;ECULINE CHILE S.A.;78556470;7;0;219;;16012011;13;1;10;1;45100;0;0;45100;0;0;0;2;65;829;45100;0; ;0; ;0;0;0;NO; ;;0;;0;;2;SIN-CODIGO      ~ PLATAS DE VIDES~ VIVERO-F~ RED GLOBE/FREEDOM~ ENSAMB;LADAS~ SIN ENRAIZAR~ PARA LA S;IEMBRA;;;;;6022000;10;24100;1;24100;99;0000024100;UNIDADES;68;538;ACE;0;;;437,5                                                                                                                                                                                                                                                                                         ;02022011;1;40;65;VIVEROS SANTA MARIA LIMITADA                        ;02022011;1;SCL00403;27122010;LAN AIRLINES S.A.;267428                
2022011;4070721;48;200;3;4492;100;6116;0;3188;0;0;992;AEROP.A.M.BENITEZ;6;R;4;621;AMSTERDAM;515;HOLANDA;AIR FRANCE;505;91750000;2;FENIX INTERNATIONAL CARGO LTDA;76026422;9;0;515;;18102011;142;3;2;1;1851,43;0;1723,44;127,99;0;0;0;3;200;734;127,99;1723,44; ;0; ;0;0;0;NO; ;;0;;0;;1;SIN-CODIGO      ~ FLORES DE GENTIANA~ NOVAZEL-F~ VAR.ASHIRO GENTIAN~ G;ENTIANA SPP~ FRESCAS;;;;;;6031990;6;90;,638;57,42;68;800;AAPCCH-UE;64;a;VARIACION P/U;0;;;104                                                                                                                                                                                                                                                                             ;02022011;1;92;200;ROT.                                               ;02022011;1;057-70279661;21012011;AIR FRANCE;270808                   
2022011;4070721;48;200;3;4492;100;6116;0;3188;0;0;992;AEROP.A.M.BENITEZ;6;R;4;621;AMSTERDAM;515;HOLANDA;AIR FRANCE;505;91750000;2;FENIX INTERNATIONAL CARGO LTDA;76026422;9;0;515;;18102011;142;3;2;1;1851,43;0;1723,44;127,99;0;0;0;3;200;734;127,99;1723,44; ;0; ;0;0;0;NO; ;;0;;0;;2;SIN-CODIGO      ~ FLORES DE HORTENSIAS~ NOVAZEL-F~ VAR.DE CORTE HYDRAN;GEA SP~ FRESCAS;;;;;;6031990;6;519;,131599;68,3;64;a;VARIACION P/U;68;800;AAPCCH-UE;0;;;596                                                                                                                                                                                                                                                                               ;02022011;1;92;200;ROT.                                               ;02022011;1;057-70279661;21012011;AIR FRANCE;270808                   
2022011;4070721;48;200;3;4492;100;6116;0;3188;0;0;992;AEROP.A.M.BENITEZ;6;R;4;621;AMSTERDAM;515;HOLANDA;AIR FRANCE;505;91750000;2;FENIX INTERNATIONAL CARGO LTDA;76026422;9;0;515;;18102011;142;3;2;1;1851,43;0;1723,44;127,99;0;0;0;3;200;734;127,99;1723,44; ;0; ;0;0;0;NO; ;;0;;0;;3;SIN-CODIGO      ~ FOLLAJES~ NOVAZEL-F~ VAR.ASSORTED~ FRESCOS;;;;;;;6049100;6;30;,075667;2,27;64;a;VARIACION P/U;68;800;AAPCCH-UE;0;;;34                                                                                                                                                                                                                                                                                                          ;02022011;1;92;200;ROT.                                               ;02022011;1;057-70279661;21012011;AIR FRANCE;270808                   
3022011;4046521;48;200;3;736;100;13114;0;3188;0;0;992;AEROP.A.M.BENITEZ;20;R;4;576;MOUNT PLEASANT;510;REINO UNIDO;LAN CHILE;997;89862200;2;LAN CHILE;89862200;2;0;510;;8052011;13;1;5;1;3890;0;0;3890;0;0;0;21;101;1513;3890;0; ;0; ;0;0;0;NO; ;;0;;0;;5;FLO100          ~ FLORES FRESCAS~ DAVID GRIFFITHS-F~ CODIGO FLO100~ SU;RTIDAS CORTADAS PARA CONFECCIO;N DE RAMOS Y ADORNOS;;;;;6031990;6;12;12;144;99;0000000012;KILO NETO;0;;;0;;;12                                                                                                                                                                                                                                                                                          ;03022011;1;22;101;ROTULADO                                           ;03022011;1;04553630150;08012011;LA;266921                            
3022011;4046521;48;200;3;736;100;13114;0;3188;0;0;992;AEROP.A.M.BENITEZ;20;R;4;576;MOUNT PLEASANT;510;REINO UNIDO;LAN CHILE;997;89862200;2;LAN CHILE;89862200;2;0;510;;8052011;13;1;5;1;3890;0;0;3890;0;0;0;21;101;1513;3890;0; ;0; ;0;0;0;NO; ;;0;;0;;5;FLO100          ~ FLORES FRESCAS~ DAVID GRIFFITHS-F~ CODIGO FLO100~ SU;RTIDAS CORTADAS PARA CONFECCIO;N DE RAMOS Y ADORNOS;;;;;6031990;6;12;12;144;99;0000000012;KILO NETO;0;;;0;;;12                                                                                                                                                                                                                                                                                          ;03022011;1;22;101;ROTULADO                                           ;03022011;2;04553629763;08012011;LA;266921                            
4022011;4067700;55;200;3;1393;100;13114;0;3188;0;0;909;LIRQUEN;8;R;1;413;OTROS PUERTOS DE CHI;336;CHINA;MITSUI O.S.K. LINES;331;80992000;3;MITSUI O.S.K. LINES;80992000;3;0;336;;22102011;13;1;2;1;12375;0;906;11469;0;0;0;1;1;8580;11469;906; ;0; ;0;0;0;NO; ;;0;;0;;1;710101000....   ~ MUSGO SECO~ ALIMEX S.A.-F~ SPHAGNUM MOSS~ PRODUCTO V;EGETAL EN BOLSAS, PARA USOS OR;NAMENTALES;;;;;6041000;6;8250;1,390182;11469;61;;27800441210;68;816;TLC-CHCHI;72;;PRECIO PROMEDIO;8580                                                                                                                                                                                                                                                     ;04022011;1;74;1;                                                     ;04022011;1;MOLU27800441210;25012011;MOL WISH;62606                   
5022011;4074413;48;200;3;10024;100;7301;0;3188;0;0;992;AEROP.A.M.BENITEZ;7;R;4;210;CIUDAD DE MEXICO;216;MEXICO;LAN CARGO;997;89862200;2;ACCIONA FORWARDING CHILE S.A.;96648380;6;0;216;;22102011;13;1;4;1;70000;0;0;70000;0;0;0;1;23;4988;70000;13191,1; ;0; ;0;0;0;NO; ;;0;;0;;1;SIN-CODIGO      ~ PLANTAS~ VIVEROSUR-F~ DE RANDANOS, BILOXI, CATEGORIA;S TODAS~ PRODUCTO TRADICIONAL,;EN CAJAS DE CARTON DE 5,0 Y K;N C/U APP.;;;;6022000;10;250000;,28;70000;99;0000250000;UNIDADES;68;700;TLCCH-M;0;;;4988                                                                                                                                                                                                                           ;05022011;1;80;23;VIVEROSUR                                           ;05022011;1;04553570996;25012011;LAN CARGO;271510                     
