1042011;4138703;48;200;3;2704;100;7301;0;3188;0;0;992;AEROP.A.M.BENITEZ;20;R;4;264;MENDOZA;224;ARGENTINA;LAN CHILE;997;89862200;2;LAN CHILE;89862200;2;0;224;2.0;3052011;13;1;2;1;1575,84;0;198,8;1377,04;0;0;0;1;2;142;1377,04;198,8; ;0; ;0;0;0;NO; ;;0;;0;;1;SIN-CODIGO      ~ PLANTA DE CEREZO~ AGROMILLORA-F~ MAXMA-60~ VIVAS DEF;RUTOS COMESTIBLES;;;;;;6022000;10;2352;,585476;1377,04;99;0000002352;UNIDAD;68;500;ACEM;64;a;VARIACION P/U;142                                                                                                                                                                                                                                                                                     ;01042011;1;80;2;ROTULADO                                             ;01042011;1;045-53518054;09032011;LA;277580                           
1042011;4171513;48;200;3;5900;100;7301;0;3188;0;0;992;AEROP.A.M.BENITEZ;7;R;4;251;LIMA;219;PERU;LAN CHILE;997;89862200;2;CARGONET NET CENTER SA;76558820;0;0;219;;18012012;13;1;2;1;12585;0;740,4;11844,6;0;0;0;1;9;184;11844,6;740,4; ;0; ;0;0;0;NO; ;;0;;0;;1;SIN-CODIGO      ~ PLANTAS IN VITRO~BESTPLANT-F~ VARIEDAD HERITAGE,  DE;FRAMBUESA (RUBUS IDARUS);;;;;;6029000;6;175;67,683429;11844,6;99;0000013200;UNIDAD;68;538;ACUERDO COMERCIAL;64;A;VARIACION P/U;184                                                                                                                                                                                                                                                                ;01042011;1;22;9;ROTULADO                                             ;01042011;1;045-5377 8852;24032011;LA;280372                          
1042011;4174430;48;200;3;3456;100;5503;0;3188;0;0;992;AEROP.A.M.BENITEZ;5;R;4;621;AMSTERDAM;515;HOLANDA;DELTA AIR LINES;225;59072510;2;HARTRODT;84007300;9;0;515;;19012012;142;3;2;1;21929,04;0;1487,7;20441,34;0;0;0;1;61;488;20441,34;1487,7; ;0; ;0;0;0;NO; ;;0;;0;;1;SIN-CODIGO      ~ PLANTAS VIVAS~SONE MERICROM-F~ ZANTEDESCHIA;;;;;;;6029000;6;445,53;45,880951;20441,34;99;0000091586;UNIDADES;68;800;ACUERDO COMERCIAL;64;B;VARIACION P/U;488                                                                                                                                                                                                                                                                                  ;01042011;1;22;61;ROTULADO                                            ;01042011;1;006-7835 0182;25032011;DL;279814                          
1042011;4174450;48;200;3;3456;100;5503;0;3188;0;0;992;AEROP.A.M.BENITEZ;5;R;4;621;AMSTERDAM;515;HOLANDA;DELTA AIRLINES;225;59072510;2;HARTRODT;84007300;9;0;515;;19012012;142;1;2;1;110771,08;0;2034,4;108736,68;0;0;0;1;51;510;108736,68;2034,4; ;0; ;0;0;0;NO; ;;0;;0;;1;SIN-CODIGO      ~ BULBOS DE FLORES~SONE MERICROM-F~ LILIUM;;;;;;;6011011;6;373,39;291,214762;108736,68;99;0000608150;UNIDADES;68;800;ACUERDO COMERCIAL;0;;;510                                                                                                                                                                                                                                                                                                ;01042011;1;30;51;ROTULADO                                            ;01042011;1;006-7835 0145;25032011;DL;279814                          
4042011;4165066;39;200;3;4095;100;10304;0;3188;0;0;906;SAN ANTONIO;10;F;1;174;LOS ANGELES;225;U.S.A.;MITSUI O.S.K. LINES (MOL);999;80992000;3;MITSUI O.S.K. LINES;59059900;K;0;225;;19122011;13;1;5;1;80250,03;0;0;80250,03;0;0;0;1;1;19266;80250,03;0; ;0; ;0;0;0;NO; ;;0;;0;;1;06011012        ~ BULBOS DE FLORES~ SOUTHERN BULBS-F~ DE TULIPAN~ EN R;EPOSO VEGETATIVO;;;;;;6011012;6;19266;4,165371;80250,03;99;0000017784;KG;61;;27800515165;68;650;TLCCH-USA;19266                                                                                                                                                                                                                                                                  ;04042011;1;76;1;                                                     ;04042011;1;MOLU27800515165;24032011;FOUMA;65494                      
6042011;4189169;48;200;3;4492;100;6116;0;3188;0;0;992;AEROP.A.M.BENITEZ;6;R;4;621;AMSTERDAM;515;HOLANDA;DELTA AIR;225;59072510;2;PANALPINA;89170800;9;0;515;;1012012;142;3;2;1;3943,66;0;989;2954,66;0;0;0;1;30;236;2954,66;989; ;0; ;0;0;0;NO; ;;0;;0;;1;SIN-CODIGO      ~ FLORES DE GENTIANA~ NOVAZEL-F~ VAR.ASHIRO GENTIAN~ G;ENTIANA SPP~ FRESCAS;;;;;;6031990;6;200;14,7733;2954,66;0;;;68;800;AAPCCH-UE;0;;;236                                                                                                                                                                                                                                                                                                                   ;06042011;1;22;30;ROT.                                                ;06042011;1;00678346041;02042011;DELTA AIR;280641                     
8042011;4128180;34;200;3;1300;100;13107;0;3188;0;0;905;VALPARAISO;5;F;1;217;MANZANILLO;216;MEXICO;CMA - CGM;505;91256000;7;LCL;96602750;9;0;216;;3012012;13;1;2;1;71888,96;0;28043;43845,96;0;0;0;1;6;64380;43845,96;28043; ;0; ;0;0;0;NO; ;;0;;0;;1;SIN-CODIGO      ~ PLANTAS PARA SIEMBRA~ HORTIFRUT-F~ PLANTAS DE ARANDA;NOS~ 1716 CAJACARTON (22);;;;;;6022000;10;11950;3,669118;43845,96;68;700;TLCCH-M;64;a;VARIACION P/U;61;;SNG0141041;64380                                                                                                                                                                                                                                                                                    ;08042011;1;76;6;                                                     ;08042011;1;LAVRVMEEE1637001;04032011;CSCL KINGSTON;64176             
9042011;4129327;48;200;3;15429;100;5501;0;3188;0;0;992;AEROP.A.M.BENITEZ;4;R;4;141;MIAMI;225;U.S.A.;LAN CHILE;997;89862200;2;FENIX INTERNATIONAL CARGO LTDA;76026422;9;0;225;;1052011;13;1;2;1;3600;0;571,65;3028,35;0;0;0;1;20;171;3028,35;571,65; ;0; ;0;0;0;NO; ;;0;;0;;1;MIXBOUQUETS     ~ MIX  DE FLORES~ SERENA FLOWERS-F~ GRADO 42~ FRESCAS;;;;;;;6031990;6;141;21,47766;3028,35;99;0000000720;BOUQUETS;68;;SIN ACUERDO;0;;;171                                                                                                                                                                                                                                                                                                  ;09042011;1;22;20;ROTULADO                                            ;09042011;1;045-53720951;02032011;LAN CHILE;277299                    
9042011;4132926;48;200;3;15429;100;5501;0;3188;0;0;992;AEROP.A.M.BENITEZ;4;R;4;141;MIAMI;225;U.S.A.;LAN CHILE;997;89862200;2;FENIX INTERNATIONAL CARGO LTDA;76026422;9;0;225;;2052011;13;1;2;1;11700;0;1627,42;10072,58;0;0;0;1;117;702;10072,58;1627,42; ;0; ;0;0;0;NO; ;;0;;0;;1;FRESIA          ~ FRESIA FRESCAS~ SERENA FLOWERS-F~ GRADO 48~ FREESIA;SP~;;;;;;6031990;6;526,5;19,131206;10072,58;99;0000058500;VARAS;68;;SIN ACUERDO;0;;;702                                                                                                                                                                                                                                                                                        ;09042011;1;22;117;ROTULADO                                           ;09042011;1;045-53721006;03032011;LAN CHILE;277527                    
9042011;4137148;48;200;3;15429;100;5501;0;3188;0;0;992;AEROP.A.M.BENITEZ;4;R;4;621;AMSTERDAM;515;HOLANDA;AIR FRANCE;505;91750000;2;FENIX INTERNATIONAL CARGO LTDA;76026422;9;0;515;;4052011;142;1;2;1;4898,03;0;990,5;3907,53;0;0;0;1;46;299;3907,53;990,5; ;0; ;0;0;0;NO; ;;0;;0;;1;FRESIA          ~ FRESIA FRESCAS~ SERENA FLOWERS-F~ GRADO 47~ FREESIA;SP~;;;;;;6031990;6;230;16,989261;3907,53;99;23184;STEMS;68;;SIN ACUERDO;0;;;299                                                                                                                                                                                                                                                                                              ;09042011;1;22;46;ROTULADO                                            ;09042011;1;057-70284664;05032011;AIR FRANCE;275887                   
